partial,f,sigma,count,meanR2,meanFittedFrameCount
1,329.727,0.550093,5,0.974491,802.2
2,659.454,0.359027,2,0.719042,825.5
3,990.527,0.45798,2,0.777036,767.5
4,1322.95,0.381646,5,0.840328,812.2
5,1658.06,0.411516,5,0.813482,820.6
6,1995.05,0.368942,5,0.741485,834.2
7,2335.01,0.548859,5,0.825068,695.2
8,2678.19,0.46857,5,0.731499,694.8
10,3025.42,0.599638,5,0.871074,823.6
11,3952.96,1.09101,5,0.89677,487.6
12,4096.69,1.21202,1,0.733179,352
14,5030.36,2.07759,4,0.88649,277
16,5219.11,3.72143,1,0.82292,243
18,5606.03,2.78091,4,0.888769,319.5
19,6813.91,5.12955,3,0.899713,144.333
22,8550.03,10.0536,1,0.927483,103
27,9004.92,5.73065,1,0.772362,171
