partial,f,sigma,count,meanR2,meanFittedFrameCount
1,98.2452,0.246899,5,0.902319,1634.8
2,195.145,0.316434,5,0.950971,1531.2
3,293.39,0.241768,5,0.850909,1561.4
4,391.635,0.327833,5,0.934329,1479.4
5,489.88,0.200197,5,0.799564,1690.2
6,588.126,0.225909,5,0.87708,1637.2
7,686.371,0.178269,4,0.734382,1663
8,784.616,0.229348,5,0.917318,1621.6
9,884.207,0.257649,5,0.851878,1605.8
10,982.452,0.272564,3,0.80159,1364
11,1082.04,0.220384,5,0.748684,1568
12,1181.63,0.253331,4,0.686249,1508
13,1281.23,0.169917,4,0.63294,1649
14,1380.82,0.771495,4,0.800564,1277.5
15,1481.75,0.460486,5,0.872254,1182.2
16,1581.34,0.277501,5,0.898837,1456
17,1682.28,0.303715,5,0.897237,1386.2
18,1784.56,0.283895,5,0.832727,1319.6
19,1886.85,0.270634,4,0.743499,1379.75
20,1989.13,0.164434,5,0.685598,1668.6
21,2091.41,0.244936,5,0.827356,1531.6
22,2195.04,0.424294,5,0.82562,1127.4
23,2300.02,0.254529,5,0.724299,1243.4
24,2404.99,2.30662,1,0.77978,215
28,2862.57,3.60566,2,0.995448,153.5
29,2962.16,3.63733,1,0.992949,143
30,2612.25,0.292162,5,0.751834,1157
31,2825.78,0.299336,3,0.708343,1302
32,3040.22,0.39354,4,0.887378,1313
35,3148.15,0.508297,5,0.87812,1144.6
36,3927.93,0.755981,5,0.908844,866
44,4042.86,0.705328,5,0.835641,842.8
45,4700.16,0.95515,5,0.864064,749.8
50,4990.32,1.12824,4,0.900833,612.5
53,5612.09,1.53312,4,0.837001,571.5
59,5867.8,2.00862,3,0.879906,396.333
61,6663.18,2.71394,3,0.877075,272
67,6799.11,2.50931,3,0.825159,344
68,7214.97,3.11792,3,0.822059,346.333
71,7500.28,3.91498,2,0.910235,219.5
73,8232.41,3.84815,2,0.839196,294
78,9070.86,3.61686,2,0.72796,375.5
83,9305.04,1.11072,1,0.528188,558
86,10619.9,4.43559,1,0.791939,232
94,10961.7,4.58022,1,0.809267,231
