partial,f,sigma,count,meanR2,meanFittedFrameCount
1,92.8619,0.335481,5,0.922146,1244.4
2,184.378,0.203316,4,0.711911,1267.5
3,277.24,0.187688,3,0.620769,1271
4,370.102,0.275927,3,0.774697,1205.33
5,461.618,0.207127,2,0.699966,1262
6,554.48,0.199685,5,0.675591,1272.6
7,647.342,0.196747,4,0.687862,1268.5
9,834.412,0.260955,5,0.831393,1265.8
10,927.274,0.219377,5,0.733421,1269.2
11,1021.48,0.314583,5,0.882338,1270.2
12,1114.34,0.28621,5,0.822665,1262
13,1208.55,0.22542,5,0.746773,1269.2
14,1302.76,0.281414,5,0.785131,1259.4
15,1396.97,0.394104,5,0.868996,1020.2
16,1492.52,0.355024,5,0.88135,1212
17,1586.73,0.453005,5,0.92799,1190
18,1682.28,0.479889,5,0.926757,1068.4
19,1778.1,0.408098,5,0.916943,1109.6
20,1874.73,0.435347,5,0.931358,1199.6
21,1972.98,0.494753,5,0.901242,953.6
22,2071.23,0.579214,3,0.94577,943.667
23,2170.82,0.635394,1,0.874396,591
28,2699.73,0.855308,2,0.940253,508
29,2793.93,1.14976,1,0.853133,388
31,2760.29,0.696166,5,0.92444,728.4
34,2949.78,0.731535,5,0.925054,640.8
36,3065.79,0.844287,5,0.910081,818.6
37,3271.7,0.933566,5,0.876873,693.8
39,3774.7,1.447,4,0.901945,498.75
40,4184.84,1.63638,2,0.923081,472.5
45,3906.93,2.16051,1,0.912892,469
46,4532.74,1.85357,3,0.917728,425.333
51,4569.08,2.45992,1,0.891763,466
52,4681.45,1.78666,4,0.908196,428.25
53,5381.96,2.30728,3,0.909078,402.333
59,6243.28,2.93679,3,0.851326,319
60,6616.08,1.09964,1,0.607985,660
70,7009.06,3.58018,2,0.845492,300
73,7274.86,3.48376,2,0.807326,335.5
75,7681.97,3.21487,1,0.840395,326
78,10197.3,6.33576,1,0.897701,180
