partial,f,sigma,count,meanR2,meanFittedFrameCount
1,523.526,0.6922,5,0.772411,508.4
3,1577.31,0.533813,5,0.615197,510.2
4,2110.25,0.811964,5,0.818353,506.4
5,2649.93,1.00999,5,0.942282,507
6,3199.03,1.48671,5,0.953605,497.8
8,3757.54,1.87293,5,0.798643,424.6
9,4910.92,4.49262,4,0.93378,170.75
11,5511.6,6.51418,3,0.93938,145.333
12,6988.87,9.38571,2,0.839263,106
15,7402.71,10.5169,2,0.978828,93
16,8060.15,9.16546,2,0.848406,111
17,8765.36,8.35174,1,0.808068,121
