partial,f,sigma,count,meanR2,meanFittedFrameCount
1,146.695,0.339735,5,0.903449,1006
3,440.085,0.196239,1,0.662196,1015
4,586.78,0.220095,1,0.617892,1013
5,734.821,0.226201,3,0.656485,1013
6,882.861,0.363401,5,0.893916,1007.4
7,1030.9,0.357722,5,0.827276,1005.4
8,1178.94,0.362059,5,0.75426,1003
9,1328.33,0.379985,5,0.894777,999.4
10,1478.52,0.38934,5,0.846568,907.6
11,1627.1,0.371633,5,0.856607,931.6
12,1781.87,0.437428,3,0.875725,930.667
20,2701.07,0.774318,5,0.931858,684.6
21,2858.53,0.812618,5,0.948447,598.8
22,3016.8,0.831826,5,0.918192,739.6
23,3499.41,1.38499,5,0.896047,517.6
26,4062.78,1.36217,5,0.89378,492.2
28,4162.64,2.50227,1,0.863578,383
31,4677.01,1.82948,5,0.849349,425.4
34,5575.75,2.71056,4,0.881803,321
35,6582.43,3.678,1,0.947875,190
39,6581.76,5.01778,2,0.911051,196.5
44,7499.84,4.09718,3,0.837028,241.333
48,7914.8,5.0651,2,0.89502,213.5
50,8774.11,4.22695,2,0.786509,276
54,8988.77,7.63286,1,0.945729,143
55,9661.68,3.22111,1,0.707445,269
58,10839.3,3.46881,1,0.665836,241
