partial,f,sigma,count,meanR2,meanFittedFrameCount
1,415.86,0.375942,5,0.881187,750.6
2,831.72,0.342435,3,0.694912,753.667
3,1248.93,0.316738,1,0.617585,748
4,1670.17,0.558889,5,0.887152,727
5,2095.45,0.62659,5,0.900101,692.4
6,2523.42,0.838498,5,0.944904,594
7,2958.12,1.03981,5,0.951191,471.6
9,3399.55,1.68157,5,0.892336,331
10,3847.71,2.28822,4,0.932957,331.75
11,5241.99,4.00465,3,0.901155,159
15,6223.1,6.33768,3,0.931092,143.333
17,7255.34,8.89689,2,0.920443,125.5
19,8898.6,6.81125,1,0.771941,144
