series,time_ms,force_N,velocity_m_s,hardness_N_mm_p,p,epsilon,tau_us
Original,1.7233584999999998,2.18451,2.0,40000.0,5.0,0.998,600.0
Original,1.7460285,2.08446,2.0,40000.0,5.0,0.998,600.0
Original,1.7687084999999998,1.98899,2.0,40000.0,5.0,0.998,600.0
Original,1.7913785,1.8979,2.0,40000.0,5.0,0.998,600.0
Original,1.8140584999999998,1.81097,2.0,40000.0,5.0,0.998,600.0
Original,1.8367385,1.7331,2.0,40000.0,5.0,0.998,600.0
A1,0.0,0.235328,2.0,400.0,2.4,0.51,400.0
A1,0.022675700000000003,1.2297,2.0,400.0,2.4,0.51,400.0
A1,0.04535139999999999,3.18185,2.0,400.0,2.4,0.51,400.0
A1,0.0680275,6.12201,2.0,400.0,2.4,0.51,400.0
A1,0.0907025,9.93842,2.0,400.0,2.4,0.51,400.0
A1,0.1133785,14.3994,2.0,400.0,2.4,0.51,400.0
A1,0.1360545,19.1942,2.0,400.0,2.4,0.51,400.0
A1,0.1587305,23.988,2.0,400.0,2.4,0.51,400.0
A1,0.1814055,28.4769,2.0,400.0,2.4,0.51,400.0
A1,0.2040815,32.4278,2.0,400.0,2.4,0.51,400.0
A1,0.22675749999999997,35.6971,2.0,400.0,2.4,0.51,400.0
A1,0.24943349999999997,38.2276,2.0,400.0,2.4,0.51,400.0
A1,0.2721085,40.032,2.0,400.0,2.4,0.51,400.0
A1,0.2947845,41.1705,2.0,400.0,2.4,0.51,400.0
A1,0.3174605,41.7292,2.0,400.0,2.4,0.51,400.0
A1,0.3401365,41.8041,2.0,400.0,2.4,0.51,400.0
A1,0.3628115,41.4888,2.0,400.0,2.4,0.51,400.0
A1,0.38548750000000004,40.8687,2.0,400.0,2.4,0.51,400.0
A1,0.40816349999999996,40.0172,2.0,400.0,2.4,0.51,400.0
A1,0.43083849999999996,38.9961,2.0,400.0,2.4,0.51,400.0
A1,0.45351450000000004,37.8551,2.0,400.0,2.4,0.51,400.0
A1,0.4761904999999999,36.6343,2.0,400.0,2.4,0.51,400.0
A1,0.4988665,35.3648,2.0,400.0,2.4,0.51,400.0
A1,0.5215415,34.0707,2.0,400.0,2.4,0.51,400.0
A1,0.5442175,32.7706,2.0,400.0,2.4,0.51,400.0
A1,0.5668935,31.4782,2.0,400.0,2.4,0.51,400.0
A1,0.5895695000000001,30.204,2.0,400.0,2.4,0.51,400.0
A1,0.6122445,28.9554,2.0,400.0,2.4,0.51,400.0
A1,0.6349205,27.7378,2.0,400.0,2.4,0.51,400.0
A1,0.6575965,26.555,2.0,400.0,2.4,0.51,400.0
A1,0.6802725000000001,25.4094,2.0,400.0,2.4,0.51,400.0
A1,0.7029475000000001,24.3025,2.0,400.0,2.4,0.51,400.0
A1,0.7256235000000001,23.2349,2.0,400.0,2.4,0.51,400.0
A1,0.7482995000000001,22.207,2.0,400.0,2.4,0.51,400.0
A1,0.7709755,21.2184,2.0,400.0,2.4,0.51,400.0
A1,0.7936505,20.2685,2.0,400.0,2.4,0.51,400.0
A1,0.8163265000000001,19.3568,2.0,400.0,2.4,0.51,400.0
A1,0.8390025,18.4821,2.0,400.0,2.4,0.51,400.0
A1,0.8616775,17.6435,2.0,400.0,2.4,0.51,400.0
A1,0.8843535,16.8399,2.0,400.0,2.4,0.51,400.0
A1,0.9070295,16.07,2.0,400.0,2.4,0.51,400.0
A1,0.9297055000000001,15.3328,2.0,400.0,2.4,0.51,400.0
A1,0.9523805000000001,14.627,2.0,400.0,2.4,0.51,400.0
A1,0.9750585,13.9514,2.0,400.0,2.4,0.51,400.0
A1,0.9977285,13.3049,2.0,400.0,2.4,0.51,400.0
A1,1.0204085,12.6863,2.0,400.0,2.4,0.51,400.0
A1,1.0430884999999999,12.0946,2.0,400.0,2.4,0.51,400.0
A1,1.0657584999999998,11.5285,2.0,400.0,2.4,0.51,400.0
A1,1.0884384999999999,10.9871,2.0,400.0,2.4,0.51,400.0
A1,1.1111084999999998,10.4693,2.0,400.0,2.4,0.51,400.0
A1,1.1337884999999999,9.97421,2.0,400.0,2.4,0.51,400.0
A1,1.1564584999999998,9.50077,2.0,400.0,2.4,0.51,400.0
A1,1.1791384999999999,9.0481,2.0,400.0,2.4,0.51,400.0
A1,1.2018185,8.61532,2.0,400.0,2.4,0.51,400.0
A1,1.2244884999999999,8.20159,2.0,400.0,2.4,0.51,400.0
A1,1.2471685,7.80608,2.0,400.0,2.4,0.51,400.0
A1,1.2698384999999999,7.42801,2.0,400.0,2.4,0.51,400.0
A1,1.2925185,7.06664,2.0,400.0,2.4,0.51,400.0
A1,1.3151884999999999,6.72124,2.0,400.0,2.4,0.51,400.0
A1,1.3378685,6.39113,2.0,400.0,2.4,0.51,400.0
A1,1.3605485,6.07564,2.0,400.0,2.4,0.51,400.0
A1,1.3832185000000001,5.77415,2.0,400.0,2.4,0.51,400.0
A1,1.4058985,5.48604,2.0,400.0,2.4,0.51,400.0
A1,1.4285685000000001,5.21074,2.0,400.0,2.4,0.51,400.0
A1,1.4512485,4.94769,2.0,400.0,2.4,0.51,400.0
A1,1.4739185,4.69635,2.0,400.0,2.4,0.51,400.0
A1,1.4965985,4.45623,2.0,400.0,2.4,0.51,400.0
A1,1.5192785,4.22683,2.0,400.0,2.4,0.51,400.0
A1,1.5419485,4.00769,2.0,400.0,2.4,0.51,400.0
A1,1.5646285,3.79835,2.0,400.0,2.4,0.51,400.0
A1,1.5872985,3.5984,2.0,400.0,2.4,0.51,400.0
A1,1.6099785,3.40743,2.0,400.0,2.4,0.51,400.0
A1,1.6326485,3.22504,2.0,400.0,2.4,0.51,400.0
A1,1.6553285,3.05086,2.0,400.0,2.4,0.51,400.0
A1,1.6780084999999998,2.88454,2.0,400.0,2.4,0.51,400.0
A1,1.7006785,2.72572,2.0,400.0,2.4,0.51,400.0
A1,1.7233584999999998,2.57409,2.0,400.0,2.4,0.51,400.0
A1,1.7460285,2.42934,2.0,400.0,2.4,0.51,400.0
A1,1.7687084999999998,2.29115,2.0,400.0,2.4,0.51,400.0
A1,1.7913785,2.15925,2.0,400.0,2.4,0.51,400.0
A1,1.8140584999999998,2.03336,2.0,400.0,2.4,0.51,400.0
A1,1.8367385,1.93393,2.0,400.0,2.4,0.51,400.0
N14,0.0,0.00414946,2.0,8800.0,3.95,0.992,2.0
N14,0.022675700000000003,0.0603193,2.0,8800.0,3.95,0.992,2.0
N14,0.04535139999999999,0.258941,2.0,8800.0,3.95,0.992,2.0
N14,0.0680275,0.694725,2.0,8800.0,3.95,0.992,2.0
N14,0.0907025,1.45714,2.0,8800.0,3.95,0.992,2.0
N14,0.1133785,2.6184,2.0,8800.0,3.95,0.992,2.0
N14,0.1360545,4.21796,2.0,8800.0,3.95,0.992,2.0
N14,0.1587305,6.24814,2.0,8800.0,3.95,0.992,2.0
N14,0.1814055,8.64738,2.0,8800.0,3.95,0.992,2.0
N14,0.2040815,11.3065,2.0,8800.0,3.95,0.992,2.0
N14,0.22675749999999997,14.0886,2.0,8800.0,3.95,0.992,2.0
N14,0.24943349999999997,16.855,2.0,8800.0,3.95,0.992,2.0
N14,0.2721085,19.4885,2.0,8800.0,3.95,0.992,2.0
N14,0.2947845,21.905,2.0,8800.0,3.95,0.992,2.0
N14,0.3174605,24.0548,2.0,8800.0,3.95,0.992,2.0
N14,0.3401365,25.9164,2.0,8800.0,3.95,0.992,2.0
N14,0.3628115,27.4883,2.0,8800.0,3.95,0.992,2.0
N14,0.38548750000000004,28.7825,2.0,8800.0,3.95,0.992,2.0
N14,0.40816349999999996,29.8181,2.0,8800.0,3.95,0.992,2.0
N14,0.43083849999999996,30.6178,2.0,8800.0,3.95,0.992,2.0
N14,0.45351450000000004,31.2056,2.0,8800.0,3.95,0.992,2.0
N14,0.4761904999999999,31.6049,2.0,8800.0,3.95,0.992,2.0
N14,0.4988665,31.838,2.0,8800.0,3.95,0.992,2.0
N14,0.5215415,31.9254,2.0,8800.0,3.95,0.992,2.0
N14,0.5442175,31.8859,2.0,8800.0,3.95,0.992,2.0
N14,0.5668935,31.7364,2.0,8800.0,3.95,0.992,2.0
N14,0.5895695000000001,31.4918,2.0,8800.0,3.95,0.992,2.0
N14,0.6122445,31.1658,2.0,8800.0,3.95,0.992,2.0
N14,0.6349205,30.7702,2.0,8800.0,3.95,0.992,2.0
N14,0.6575965,30.3156,2.0,8800.0,3.95,0.992,2.0
N14,0.6802725000000001,29.8112,2.0,8800.0,3.95,0.992,2.0
