group,label,hardness,p,epsilon,tau0,velocity,log_file,nonfinite_output,Fmax_N,t_peak_s,peak_position_ratio,contact_span_s,contact_duration_s,half_max_duration_s,rise_time_s,fall_time_s,rise_fall_ratio,impulse_Ns,loading_impulse_fraction,unloading_impulse_fraction,force_centroid_ratio,sample_count,max_rise_slope,max_fall_slope,contact_event_count,error
reference_speed,renner_n14,8800.0,3.95,0.992,2e-06,0.5,010_reference_speed_renner_n14_v0.5.txt,False,5.75093,0.00142857,0.6630425586427943,0.0020861685,0.001723357,0.0012925179999999999,0.0013832185,0.0007029499999999999,1.9677338359769545,0.006996628749961215,0.4999944628304893,0.5000055371695106,0.6558577672339033,93,8240.793825799332,-3710.758377425005,1,
reference_speed,renner_n14,8800.0,3.95,0.992,2e-06,1.0,011_reference_speed_renner_n14_v1.txt,False,13.7053,0.000907029,0.44705836269224675,0.0019274384999999998,0.0017233569999999998,0.0011564639999999998,0.0008616775,0.001065761,0.8085091310340686,0.015560039922001362,0.36519160408236806,0.6348083959176319,0.5447341008266092,86,31337.537484565088,-11059.082892416283,1,
reference_speed,renner_n14,8800.0,3.95,0.992,2e-06,2.0,012_reference_speed_renner_n14_v2.txt,False,31.9254,0.000566893,0.28048785406757043,0.0018594084999999998,0.00174603,0.000907025,0.0005215415,0.001337867,0.3898306034904815,0.03145300739824172,0.2776608507436375,0.7223391492563624,0.4400568763983409,83,122689.18680543327,-29877.403422120376,1,
reference_speed,renner_n14,8800.0,3.95,0.992,2e-06,4.0,013_reference_speed_renner_n14_v4.txt,False,72.954,0.000362812,0.5833338692710175,0.0005442175,0.0004988661,0.00040816299999999996,0.0003174605,0.00022675699999999996,1.400003087005032,0.029147822366723416,0.4695941394819225,0.5304058605180774,0.6017173215130357,25,510173.75198447733,-114830.65796436768,1,
reference_speed,renner_n14,8800.0,3.95,0.992,2e-06,6.0,014_reference_speed_renner_n14_v6.txt,False,117.408,0.000272109,0.7692314215978112,0.0002947845,0.0002494331,0.000204082,0.00022675749999999996,6.802700000000002e-05,3.3333455833713073,0.0245294720017417,0.6776843159755487,0.3223156840244513,0.6298475817735975,14,1210297.6846747517,-144822.7200564469,1,
reference_speed,renner_a3_soft,19000.0,3.74,0.997,1.5e-06,0.5,015_reference_speed_renner_a3_soft_v0.5.txt,False,5.20148,0.00131519,0.643676957768154,0.0019727885,0.00170068,0.0012925159999999998,0.0012698384999999999,0.0007029499999999999,1.806442136709581,0.006354263086062985,0.4970749984432856,0.5029250015567145,0.6388879136100107,88,7776.944787440472,-3150.352733686042,1,
reference_speed,renner_a3_soft,19000.0,3.74,0.997,1.5e-06,1.0,016_reference_speed_renner_a3_soft_v1.txt,False,12.6547,0.000816327,0.4096382821530444,0.0018820885,0.0017233580000000001,0.0012018110000000001,0.0007709755000000001,0.001111113,0.6938767704094904,0.01467515366120537,0.3401124858406021,0.659887514159398,0.5292251817615178,84,31185.446527012147,-9474.636082929,1,
reference_speed,renner_a3_soft,19000.0,3.74,0.997,1.5e-06,2.0,017_reference_speed_renner_a3_soft_v2.txt,False,30.1988,0.000521542,0.3962249707422543,0.0012018184999999999,0.0011111159999999999,0.0009297069999999999,0.00047619049999999993,0.000725628,0.6562460379147441,0.02465577106697062,0.3307627516523104,0.6692372483476897,0.5308191906302394,54,128723.70452039682,-47120.81128747801,1,
reference_speed,renner_a3_soft,19000.0,3.74,0.997,1.5e-06,4.0,018_reference_speed_renner_a3_soft_v4.txt,False,70.4448,0.00031746,0.6666654416673711,0.00040816349999999997,0.0003628121,0.000294785,0.00027210849999999997,0.000136055,1.9999889750468558,0.02106985038447485,0.5553676018101683,0.4446323981898317,0.6158675179156036,19,563581.0363836822,-91837.18468865761,1,
reference_speed,renner_a3_soft,19000.0,3.74,0.997,1.5e-06,6.0,019_reference_speed_renner_a3_soft_v6.txt,False,114.836,0.000226757,0.888887527776893,0.0002040815,0.00018140580000000002,0.00013605400000000004,0.0001814055,2.267600000000001e-05,7.999889751278881,0.015529586021961004,0.8341935742292984,0.16580642577070154,0.6434603286285399,10,1424429.2448877892,-113247.48632915843,1,
reference_speed,renner_a3_hard,32000.0,4.0,0.997,1e-06,0.5,020_reference_speed_renner_a3_hard_v0.5.txt,False,5.72463,0.00129252,0.6179796381665579,0.0020181385,0.0017006779999999997,0.0013151909999999998,0.0012471684999999998,0.0007709699999999999,1.6176615173093634,0.006931165591472874,0.46695575312825643,0.5330442468717435,0.6349668287464467,90,9076.515986769575,-3841.710758377362,1,
reference_speed,renner_a3_hard,32000.0,4.0,0.997,1e-06,1.0,021_reference_speed_renner_a3_hard_v1.txt,False,13.7081,0.000816327,0.40476286101361414,0.0019047584999999998,0.001746028,0.0011337909999999999,0.0007709755000000001,0.0011337829999999998,0.6800026989291604,0.015322758289537297,0.3444639152528642,0.6555360847471359,0.5204647103022892,85,35632.82765919915,-11063.520070577822,1,
reference_speed,renner_a3_hard,32000.0,4.0,0.997,1e-06,2.0,022_reference_speed_renner_a3_hard_v2.txt,False,32.1691,0.000498866,0.4166652502644845,0.0010884385,0.000997736,0.0008843569999999999,0.00045351450000000003,0.0006349239999999999,0.7142815518077755,0.023836164679695182,0.32884296222253745,0.6711570377774625,0.5487373100057629,49,144959.4284706297,-45714.28571428576,1,
reference_speed,renner_a3_hard,32000.0,4.0,0.997,1e-06,4.0,023_reference_speed_renner_a3_hard_v4.txt,False,73.9864,0.00031746,0.5217389220225044,0.0005215415,0.00047619009999999996,0.00040816299999999996,0.00027210849999999997,0.00024943299999999997,1.0909081797516769,0.029207866649456952,0.41834148503051066,0.5816585149694892,0.5833706301620907,24,618271.2238147736,-219038.5887541347,1,
reference_speed,renner_a3_hard,32000.0,4.0,0.997,1e-06,6.0,024_reference_speed_renner_a3_hard_v6.txt,False,122.18,0.000226757,0.888887527776893,0.0002040815,0.00018140580000000002,0.00013605400000000004,0.0001814055,2.267600000000001e-05,7.999889751278881,0.016159514322629354,0.8357947250751131,0.16420527492488693,0.6459116641173897,10,1608208.6425796319,-455371.31769271486,1,
reference_speed,n14_equiv_eps998,35200.0,3.95,0.998,5e-07,0.5,025_reference_speed_n14_equiv_eps998_v0.5.txt,False,5.74667,0.00142857,0.6630425586427943,0.0020861685,0.001723357,0.0012925179999999999,0.0013832185,0.0007029499999999999,1.9677338359769545,0.006995088862825678,0.5004523493732375,0.49954765062676254,0.6556313313073372,93,8239.029768467477,-3706.790123456784,1,
reference_speed,n14_equiv_eps998,35200.0,3.95,0.998,5e-07,1.0,026_reference_speed_n14_equiv_eps998_v1.txt,False,13.6968,0.000907029,0.44705836269224675,0.0019274384999999998,0.0017233569999999998,0.0011564639999999998,0.0008616775,0.001065761,0.8085091310340686,0.015554473105388674,0.3656403769452247,0.6343596230547754,0.5445361585715427,86,31338.860469218453,-11044.97354497351,1,
reference_speed,n14_equiv_eps998,35200.0,3.95,0.998,5e-07,2.0,027_reference_speed_n14_equiv_eps998_v2.txt,False,31.9124,0.000566893,0.28048785406757043,0.0018594084999999998,0.00174603,0.000907025,0.0005215415,0.001337867,0.3898306034904815,0.03144438697191481,0.2780278273185379,0.7219721726814624,0.4399333773394667,83,122834.71511730492,-29846.533780208138,1,
reference_speed,n14_equiv_eps998,35200.0,3.95,0.998,5e-07,4.0,028_reference_speed_n14_equiv_eps998_v4.txt,False,72.9367,0.000362812,0.5833338692710175,0.0005442175,0.0004988661,0.00040816299999999996,0.0003174605,0.00022675699999999996,1.400003087005032,0.0291540145191153,0.4700044549861573,0.5299955450138427,0.6014731451993642,25,511285.0590933148,-114270.59446110422,1,
reference_speed,n14_equiv_eps998,35200.0,3.95,0.998,5e-07,6.0,029_reference_speed_n14_equiv_eps998_v6.txt,False,117.429,0.000272109,0.7692314215978112,0.0002947845,0.0002494331,0.000204082,0.00022675749999999996,6.802700000000002e-05,3.3333455833713073,0.0245448851396578,0.6780400773303363,0.32195992266966367,0.6295538653221222,14,1210818.0815876513,-167092.961721644,1,
hardness_axis,k_2200,2200.0,3.95,0.992,2e-06,2.0,030_hardness_axis_k_2200_v2.txt,False,28.8525,0.000770975,0.38095301845352053,0.0019047584999999998,0.001746028,0.0010657610000000001,0.0007256235000000001,0.001179135,0.6153862789248051,0.03146718199251026,0.32465297971206397,0.6753470202879359,0.5080200313685299,85,77618.52260198457,-24497.354497354616,1,
hardness_axis,k_4400,4400.0,3.95,0.992,2e-06,2.0,031_hardness_axis_k_4400_v2.txt,False,30.3801,0.000657596,0.32530059027511193,0.0018820885,0.001746034,0.0009750579999999999,0.0006122445,0.001269844,0.48214150714575965,0.03154944628223614,0.2964956239740108,0.7035043760259893,0.4722386504484176,84,97464.27941435877,-27125.2204585539,1,
hardness_axis,k_8800,8800.0,3.95,0.992,2e-06,2.0,032_hardness_axis_k_8800_v2.txt,False,31.9254,0.000566893,0.28048785406757043,0.0018594084999999998,0.00174603,0.000907025,0.0005215415,0.001337867,0.3898306034904815,0.03145300739824172,0.2776608507436375,0.7223391492563624,0.4400568763983409,83,122689.18680543327,-29877.403422120376,1,
hardness_axis,k_17600,17600.0,3.95,0.992,2e-06,2.0,033_hardness_axis_k_17600_v2.txt,False,33.4561,0.000498866,0.24390256363784507,0.0018594084999999998,0.0017687059999999999,0.0008390069999999999,0.00045351450000000003,0.001405894,0.32258086313761924,0.0313494634308532,0.2698600579979035,0.7301399420020964,0.4082679339527916,83,156123.4840132303,-32770.32986417364,1,
hardness_axis,k_35200,35200.0,3.95,0.992,2e-06,2.0,034_hardness_axis_k_35200_v2.txt,False,34.9947,0.000408163,0.4324319653397934,0.0008390025,0.0007709749999999999,0.000680272,0.0003628115,0.00047619099999999994,0.761903311906357,0.020992227641724915,0.3361896236680204,0.6638103763319795,0.5596991394661996,38,199263.53854295303,-65390.7214676313,1,
p_axis,p_3,8800.0,3.0,0.992,2e-06,2.0,035_p_axis_p_3_v2.txt,False,30.5193,0.000544218,0.2716045316194984,0.0018367385,0.001768711,0.0009750569999999999,0.0004988665,0.0013378720000000001,0.3728805894734324,0.03181673961378392,0.2859923247019888,0.714007675298011,0.43191360853088423,82,109670.57682130898,-27156.464985006165,1,
p_axis,p_3.5,8800.0,3.5,0.992,2e-06,2.0,036_p_axis_p_3.5_v2.txt,False,31.2749,0.000566893,0.28048785406757043,0.0018594084999999998,0.0017687059999999999,0.000952381,0.0005215415,0.001337867,0.3898306034904815,0.031663134076781285,0.29001915593741445,0.7099808440625858,0.4354212443383471,83,115796.4367613335,-28594.10830834371,1,
