partial,f,sigma,r2,fittedFrameCount
1,207.257,0.202901,0.902904,1269
2,414.514,0.226239,0.754842,1269
3,623.117,0.260949,0.881058,1268
4,831.72,0.458469,0.833858,939
5,1040.32,0.234051,0.737886,1265
6,1250.27,0.22175,0.843005,1266
7,1461.57,0.281063,0.787779,1249
8,1672.86,0.313958,0.881055,1259
9,1886.85,0.393331,0.961811,1199
10,2100.83,0.274518,0.764974,1248
11,2317.51,0.387894,0.968285,1182
12,2535.53,0.571117,0.968929,741
13,2756.25,0.361237,0.887451,1167
14,2976.97,0.440213,0.910573,1038
16,3201.72,0.473179,0.882398,1135
18,3427.82,0.619035,0.83208,766
19,3889.43,0.719786,0.881616,723
21,4122.26,0.65109,0.857388,693
23,4843.62,1.25308,0.8343,380
26,5338.89,1.40685,0.82938,349
