partial,f,sigma,r2,fittedFrameCount
1,164.191,0.259188,0.946538,1267
2,329.727,0.201643,0.795442,1271
3,493.918,0.226986,0.886896,1266
4,659.454,0.168365,0.705771,1272
5,824.991,0.157296,0.67917,1274
6,990.527,0.287817,0.860474,1140
7,1157.41,1.15667,0.967535,434
8,1324.29,0.346322,0.909335,1219
9,1491.17,0.23835,0.641884,1270
11,1828.98,0.276281,0.899588,1131
18,2688.96,0.299376,0.921538,1271
19,3217.87,0.43736,0.786765,1009
22,3398.21,0.757862,0.881334,604
23,3945.96,0.57701,0.702627,750
27,4131.68,0.810902,0.873401,1166
28,5486.93,2.42661,0.794833,325
