partial,f,sigma,r2,fittedFrameCount
1,117.087,0.24133,0.690021,1264
3,349.915,0.274373,0.724937,1108
4,465.656,0.263699,0.737797,1267
5,582.742,0.205882,0.659752,1266
6,699.829,0.196022,0.685095,1268
7,816.916,0.24766,0.848388,1265
8,934.003,0.234368,0.763956,1267
9,1052.44,0.306715,0.905234,1258
10,1169.52,0.359885,0.913031,1252
11,1289.3,0.320463,0.813029,1250
12,1411.77,0.55346,0.953049,946
20,2457.48,0.962511,0.908051,496
21,2575.91,0.964385,0.903608,481
24,2995.81,0.867942,0.969717,671
25,2744.14,0.758633,0.970714,713
26,3123.66,0.873734,0.955944,844
29,3509.91,1.19018,0.95474,566
32,3771,1.1279,0.989274,654
34,4721.15,1.75149,0.982178,402
41,5001.09,1.91008,0.95074,333
43,5874.53,2.50854,0.95992,276
48,6175.99,2.78857,0.917543,239
50,7114.03,3.44289,0.935743,195
55,7764.07,5.21826,0.928669,204
58,7936.33,5.60765,0.925136,201
59,8100.52,4.34373,0.894877,150
60,8621.36,4.29577,0.872675,253
63,9146.23,5.2731,0.915924,212
