partial,f,sigma,r2,fittedFrameCount
1,130.545,0.334065,0.866756,1009
2,261.09,0.260428,0.743658,1013
3,391.635,0.440521,0.814313,713
4,523.526,0.459701,0.912974,1002
5,654.071,0.328704,0.81103,1012
7,917.853,0.279974,0.720465,1011
8,1049.74,0.464985,0.869667,844
9,1181.63,0.460125,0.865192,997
10,1314.87,0.33625,0.790514,1012
11,1448.11,0.653939,0.913069,749
12,1585.38,0.348591,0.756414,859
21,2894.87,1.4379,0.905019,289
22,2674.15,0.717411,0.952608,687
23,3098.09,0.782568,0.977133,1021
26,3676.79,1.16082,0.965879,589
30,3972.88,1.02379,0.97565,659
32,4122.26,1.17433,0.977955,601
33,4275.69,1.28997,0.970684,579
34,4892.07,1.66039,0.937481,370
38,5211.04,2.16831,0.971878,326
40,5534.03,2.36021,0.95944,284
42,6715.67,4.09449,0.898548,216
49,7986.13,4.1897,0.916633,160
55,9156.99,7.75982,0.93424,141
60,9352.14,7.49812,0.940819,151
61,9560.74,7.38622,0.933332,153
62,9766.65,3.9163,0.760272,249
63,9968.53,3.87846,0.754101,239
64,10183.9,2.24707,0.615251,337
