partial,f,sigma,r2,fittedFrameCount
1,30.954,0.203086,0.925064,1275
2,61.908,0.222168,0.934392,1264
3,91.5161,0.184397,0.878634,1275
4,122.47,0.149732,0.697035,1276
5,153.424,0.143382,0.766237,1277
11,339.148,0.115125,0.636163,1259
13,402.402,0.135701,0.600983,1276
14,433.356,0.134858,0.661304,1274
15,469.693,0.17838,0.785453,1276
16,497.955,0.149283,0.777854,1277
17,528.909,0.185486,0.847188,1274
18,561.209,0.166209,0.793598,1277
19,593.509,0.198317,0.844371,1271
20,625.809,0.185519,0.851546,1275
21,659.454,0.190237,0.83421,1272
22,693.1,0.203087,0.81976,1272
23,725.4,0.212118,0.854076,1150
24,759.045,0.20374,0.912693,1160
25,792.691,0.223868,0.934944,1165
26,826.337,0.238168,0.938979,1274
27,861.328,0.250025,0.89787,1267
28,894.974,0.257544,0.928854,1273
29,929.965,0.299426,0.941486,1269
30,964.957,0.368564,0.994495,1268
31,999.948,0.391707,0.94001,1236
32,1034.94,0.329886,0.988826,1277
33,1071.28,0.355601,0.902905,1279
34,1108.96,0.393525,0.983244,1275
35,1143.95,0.42936,0.980125,1271
36,1181.63,0.511996,0.966038,1078
37,1217.97,0.481002,0.977598,1144
38,1255.65,0.568983,0.987121,985
39,1293.34,0.52429,0.973609,1020
40,1331.02,0.579131,0.979141,903
41,1370.05,0.615325,0.988423,909
42,1410.42,0.601346,0.987945,924
43,1449.45,0.635304,0.987016,864
44,1488.48,0.636836,0.973154,853
45,1528.86,0.73103,0.940221,778
46,1569.23,0.769957,0.983862,706
47,1608.26,0.789208,0.998588,748
48,1651.33,0.765843,0.986448,706
50,1734.77,0.902613,0.982597,558
51,1776.49,0.969047,0.968523,513
52,1820.9,1.12252,0.965072,461
53,1863.97,1.06949,0.925545,489
54,1907.03,1.1669,0.977651,482
78,2814.12,2.08248,0.980652,224
83,3283.81,1.39522,0.760796,647
