partial,f,sigma,count,meanR2,meanFittedFrameCount
1,1484.45,1.56837,5,0.966473,372.8
2,2986.39,2.34431,5,0.988054,290
3,4544.85,3.45261,5,0.949963,245.6
4,5625.01,6.89155,5,0.848335,127.2
5,7865,10.4211,4,0.898978,90.5
7,9718.2,6.40437,2,0.665642,122.5
8,11595.6,6.33109,1,0.632758,117
