partial,f,sigma,count,meanR2,meanFittedFrameCount
1,310.886,0.433235,5,0.806959,753
2,621.771,0.252505,1,0.65073,752
3,934.003,0.38898,4,0.737135,754.25
5,1563.85,0.411229,5,0.863423,744.4
6,1881.46,0.536092,5,0.881829,721
7,2201.23,0.516083,5,0.911642,752.6
8,2524.77,0.761338,5,0.926595,654.4
9,2850.46,0.933975,5,0.962366,515.4
11,3180.45,1.33876,5,0.93662,569.2
12,3854.44,1.91634,4,0.922261,338
14,4905.53,3.093,4,0.926652,258.25
18,6389.98,4.10245,3,0.842333,202
22,6780.72,4.65073,3,0.807214,200.333
23,7171.9,5.94919,2,0.87332,186
24,7572.96,4.62795,2,0.770001,255
25,10190.6,7.93213,1,0.814743,128
