mode,frequency_hz,candidate_fraction,candidate_db,target_fraction,target_db,delta_db
1,265.66265060240966,0.01969356399763745,-14.32782171251029,,,
2,531.3253012048193,0.5334656863977167,0.0,,,
3,796.987951807229,0.008150463849176929,-18.159241644740945,,,
4,1062.6506024096386,0.2889712777086097,-2.662518117361414,,,
5,1328.3132530120483,0.006484856792429374,-19.152061001159634,,,
6,1593.975903614458,0.0964758181827461,-7.4268801956945385,,,
7,1859.6385542168675,0.0019208397073489677,-24.436153651300636,,,
8,2125.3012048192772,0.011756538229431979,-16.568270295356193,,,
9,2390.963855421687,3.3948622770376055e-05,-41.962843294598606,,,
10,2656.6265060240967,0.0012971575839053825,-26.141137508265324,,,
11,2922.289156626506,0.0002617769520509401,-33.091750831744406,,,
12,3187.951807228916,0.011353873038605447,-16.719624564065818,,,
13,3453.6144578313256,0.0005799085403462934,-29.637469852759303,,,
14,3719.277108433735,0.011515873265704031,-16.65809613208985,,,
15,3984.939759036145,0.0004784399126878918,-30.472790874967895,,,
16,4250.6024096385545,0.004340597755916863,-20.895569484061568,,,
17,4516.265060240964,0.00012712178428806652,-36.22886509928607,,,
18,4781.927710843374,0.0002721467820323947,-32.92303286531508,,,
19,5047.590361445784,1.1924190676245591e-06,-56.506775778587965,,,
20,5313.253012048193,0.0003541141553979575,-31.779632023107553,,,
21,5578.915662650603,7.901058810159153e-05,-38.294211955469486,,,
22,5844.578313253012,0.0010704316727548947,-26.97547539098234,,,
23,6110.240963855422,0.00012727668207111788,-36.22357644627536,,,
24,6375.903614457832,0.0007765712162397659,-28.369252006504098,,,
25,6641.566265060241,8.282763814955402e-05,-38.0893121242929,,,
26,6907.228915662651,0.00019179826399197853,-34.4426181799283,,,
27,7172.891566265062,1.268125070871772e-05,-46.23944401302096,,,
28,7438.55421686747,9.728415318799953e-07,-57.39064387025908,,,
29,7704.2168674698805,3.946156044200276e-06,-51.309322352397544,,,
30,7969.87951807229,3.695999621303129e-05,-41.593745719012546,,,
31,8235.5421686747,2.399329888843503e-05,-43.470165258285796,,,
32,8501.204819277109,5.833471743451465e-05,-39.611793914064805,,,
