partial,f,sigma,r2,fittedFrameCount
1,117.087,0.294096,0.890009,1394
2,232.828,0.175785,0.792945,1691
3,349.915,0.196532,0.721288,1691
4,465.656,0.211902,0.865871,1687
5,582.742,0.220601,0.920251,1689
6,699.829,0.152803,0.739049,1698
7,816.916,0.223594,0.837167,1553
8,934.003,0.168734,0.61623,1690
9,1051.09,0.193159,0.741056,1673
10,1169.52,0.312194,0.742393,1141
11,1289.3,0.225851,0.831312,1581
12,1411.77,1.07373,0.956038,467
20,2457.48,3.05408,0.998997,176
21,2575.91,3.22315,0.99829,162
24,2995.81,0.408027,0.88519,910
25,2744.14,0.460818,0.986117,1010
26,3123.66,0.417934,0.952099,1554
29,3250.17,0.381691,0.903609,1391
30,3508.57,0.501132,0.902022,940
32,3639.11,0.522708,0.879804,1037
33,4581.19,0.823166,0.933995,670
40,4719.81,0.783493,0.928319,703
41,5001.09,0.92349,0.873722,551
43,5577.1,1.1794,0.832563,425
46,5723.79,1.26536,0.821832,404
47,5871.84,1.50159,0.897803,371
48,6173.3,1.87833,0.862513,293
50,6791.03,2.61489,0.778836,273
53,7111.34,3.42932,0.819621,240
55,7272.84,3.74823,0.866651,284
56,8270.1,4.79675,0.900495,235
61,9148.92,3.38871,0.758319,298
