partial,f,sigma,r2,fittedFrameCount
1,130.545,0.188771,0.877755,1271
2,261.09,0.228897,0.920805,1270
3,391.635,0.308474,0.98295,1266
4,523.526,0.210526,0.890984,1270
5,654.071,0.197856,0.908068,1272
6,785.962,0.174428,0.865094,1272
7,917.853,0.24738,0.736727,1269
8,1049.74,0.240096,0.951256,1272
9,1181.63,0.226765,0.740662,1268
10,1314.87,0.16692,0.668791,1271
11,1448.11,0.640866,0.972314,800
12,1585.38,0.210751,0.828904,1268
22,3096.74,0.392482,0.910038,1290
26,3530.1,0.8383,0.874849,1164
29,3971.53,0.620343,0.793902,671
32,4273,0.755823,0.660136,605
34,5369.84,1.71178,0.89348,606
41,5532.69,1.45652,0.835095,634
