partial,f,sigma,count
1,43.0664,0.284724,5
2,87.4786,0.269791,5
3,130.545,0.256216,5
4,173.611,0.278641,5
5,218.024,0.21745,5
6,261.09,0.248693,5
7,305.502,0.203686,5
9,392.981,0.160068,5
10,436.047,0.150438,3
11,480.46,0.253048,5
12,524.872,0.150207,4
13,567.938,0.24478,5
14,612.35,0.270168,5
15,656.763,0.31479,5
16,701.175,0.258277,5
17,745.587,0.25453,5
18,791.076,0.173569,5
19,835.757,0.195974,5
20,880.708,0.215256,5
21,925.928,0.318421,5
22,971.686,0.387127,5
23,1018.79,0.339268,5
24,1065.89,0.31498,4
25,1135.88,0.829241,3
26,1180.29,1.36826,2
27,1224.7,0.966039,4
28,1263.06,0.749778,4
29,1314.2,0.97769,2
34,1580,0.629632,5
35,1628.72,0.624124,5
36,1677.71,0.56648,5
37,1727.23,0.593431,5
38,1776.49,0.52254,5
39,1826.55,0.627937,5
40,1882.47,1.13777,4
41,1926.68,0.619903,5
42,1977.02,0.668671,5
43,2030.85,0.639481,2
49,2395.57,0.840947,5
50,2449.4,0.815217,4
51,2503.57,0.927148,4
52,2558.41,0.954179,4
53,2613.93,1.02143,4
54,2667.76,1.05413,4
60,3067.14,1.51966,4
61,3126.89,1.58391,5
62,3188.26,1.71799,4
63,3244.78,1.89647,2
64,3308.37,1.69431,4
65,3371.29,1.8995,2
66,3454.06,1.67364,2
67,3507.22,1.71796,1
69,3662.66,1.6704,2
70,3741.84,1.72395,3
71,3805.99,2.30388,2
72,3871.04,2.7097,3
73,3933.85,2.81011,4
74,4003.83,2.67218,2
75,4107.46,2.44638,2
76,4159.95,2.40538,2
78,4331.31,2.90717,3
79,4388.74,2.21335,4
80,4471.73,4.0168,3
81,4539.92,4.13052,3
82,4615.28,4.3272,3
84,4789.79,1.95858,1
86,4966.09,4.40647,3
87,5020.6,3.81625,2
88,5121.54,4.92291,2
89,5188.16,5.57577,2
90,5272.94,4.22006,1
94,5646.19,4.09178,3
96,5801.85,3.91859,1
