partial,f,sigma,count
1,57.8705,0.245533,5
2,116.077,0.212507,4
3,174.957,0.269258,5
4,232.828,0.226874,5
5,290.698,0.217836,4
6,348.569,0.142312,1
7,407.785,0.23844,5
8,465.656,0.152495,5
9,523.862,0.267509,4
10,582.742,0.1407,5
11,640.613,0.14905,5
12,699.829,0.202589,5
13,757.7,0.185507,5
14,816.916,0.211368,5
15,876.132,0.171533,5
16,935.349,0.244943,5
17,994.565,0.192296,5
18,1053.78,0.223999,5
19,1114.34,0.270549,5
20,1176.25,0.328492,3
26,1575.96,0.519816,2
27,1635.18,0.426009,1
28,1693.05,0.499402,2
29,1752.26,0.547365,1
30,1837.05,0.356012,5
31,1898.96,0.398109,5
32,1960.87,0.396636,4
33,2022.78,0.410746,4
34,2084.68,0.435845,5
35,2149.28,0.420709,5
36,2225.32,0.563338,2
37,2302.71,7.06631,3
40,2523.42,0.591664,2
41,2591.72,0.575577,4
42,2658,0.547611,4
43,2720.25,0.567023,4
44,2788.55,0.5827,3
48,3115.59,0.79307,5
49,3184.22,0.741896,4
50,3250.5,0.908247,4
51,3322.84,1.05441,3
52,3428.27,1.01974,3
53,3489.72,1.06316,3
54,3589.32,1.11813,1
55,3664.68,0.867499,4
56,3734.67,1.22391,4
57,3832.91,1.4469,4
60,4089.96,1.10821,2
61,4162.64,1.29404,3
62,4239.8,1.52412,3
64,4419.69,1.54769,2
65,4530.05,1.26803,2
66,4601.71,2.16577,4
67,4686.84,1.48413,2
69,4900.15,1.78583,2
70,4979.55,2.11481,3
71,5070.17,2.24826,3
72,5184.12,1.20256,1
74,5370.29,2.74785,3
75,5447.9,2.43632,1
76,5548.16,2.9129,2
78,5773.59,3.42793,2
79,5855.69,3.43936,2
80,5957.97,2.65067,3
83,6274.24,3.81999,2
84,6381.9,3.98614,1
87,6703.56,2.59106,1
88,6817.95,3.50519,2
90,7070.97,4.08386,1
91,7177.29,1.53696,1
94,7528.55,4.14819,1
