partial,f,sigma,count
1,103.629,0.285876,5
2,207.257,0.213403,3
3,310.886,0.148691,3
4,414.514,0.189145,5
5,519.489,0.185508,5
6,623.117,0.258121,5
7,728.091,0.243383,5
8,831.72,0.240795,5
9,936.694,0.283751,5
10,1041.67,0.246128,5
11,1146.64,0.213177,5
12,1251.62,0.290193,5
13,1357.94,0.324469,5
14,1464.26,0.405878,5
15,1570.58,0.3784,5
16,1676.9,0.404736,5
17,1784.56,0.377951,5
18,1892.23,0.42598,5
19,2001.24,0.413253,5
20,2110.25,0.490204,4
21,2217.92,0.544135,5
22,2328.28,0.544021,4
23,2439.17,0.51224,5
24,2550.34,0.64659,4
25,2662.04,0.568728,3
26,2776.44,0.772332,3
27,2890.83,0.862369,1
28,3005.23,0.845837,2
29,3141.16,1.773,3
30,3241.42,0.899555,2
31,3356.49,0.612699,2
43,4846.32,4.66398,3
44,4990.32,1.32118,1
53,6229.82,3.53395,1
57,6808.53,1.60194,1
58,6978.1,4.56129,2
59,7126.14,3.35376,1
60,7272.84,4.68269,1
61,7427.61,5.27748,1
62,7578.34,5.46147,1
63,7723.69,5.52624,1
65,8036.6,5.01926,2
66,8193.38,5.90303,1
