partial,f,sigma,count
1,52.4872,0.21305,5
2,103.629,0.265336,5
3,154.77,0.232299,5
4,207.257,0.213521,5
7,363.373,0.186768,2
8,414.514,0.140179,5
9,467.001,0.204702,4
10,519.489,0.186289,5
11,570.63,0.179127,5
12,623.117,0.206402,5
13,675.604,0.277269,5
14,728.091,0.232604,5
15,780.848,0.224694,5
16,833.873,0.240727,5
17,886.899,0.197843,5
18,939.386,0.250229,5
19,992.142,0.307706,5
20,1047.05,0.231433,5
21,1102.23,0.297303,4
22,1157.41,0.352239,1
26,1403.7,0.67471,3
27,1441.38,12.8449,5
28,1509.12,0.732325,3
29,1562.5,0.602366,1
31,1697.09,0.482824,2
32,1755.29,0.493088,4
33,1811.48,0.443912,4
34,1868.54,0.456027,5
35,1925.88,0.491849,5
36,1980.79,0.517316,5
37,2038.12,0.490932,5
38,2098.14,0.569593,4
39,2161.4,0.7042,2
41,2305.4,0.789057,2
42,2359.23,0.824657,1
43,2444.02,0.702526,4
44,2506.2,0.737261,5
45,2566.15,0.76685,4
46,2627.72,0.836484,4
47,2686.27,1.03117,1
48,2752.21,0.85145,2
52,3056.37,1.4571,4
53,3120.07,1.34456,3
54,3186.02,1.60672,3
55,3247.48,1.75761,3
56,3320.6,1.32894,3
59,3569.13,1.52074,1
60,3640.01,1.65079,3
61,3716.5,1.7164,4
62,3776.05,1.89495,4
63,3853.1,2.07113,3
64,3959.42,2.40122,1
65,4017.96,2.14064,2
66,4116.88,2.20416,2
67,4186.86,2.19271,4
68,4260.88,2.08372,3
69,4344.32,2.51435,3
72,4615.73,2.53723,3
73,4699.17,3.11889,3
74,4765.12,3.33455,3
75,4857.53,3.35002,3
76,4951.29,3.28378,1
77,5044.83,4.15579,2
78,5139.03,3.73411,2
79,5215.75,4.44761,2
80,5319.6,3.41794,3
81,5398.55,3.43502,3
83,5607.38,4.39457,2
84,5687.46,3.83178,2
85,5801.85,4.43154,2
86,5883.95,4.62798,2
87,5970.08,4.89501,1
88,6094.57,4.53194,2
89,6178.68,5.30795,2
90,6301.15,5.23661,1
91,6387.96,4.43116,2
92,6482.84,3.77447,2
93,6602.62,6.27593,1
94,6687.41,7.43816,1
