partial,f,sigma,count
1,98.2452,0.321776,5
2,196.49,0.211233,3
3,293.39,0.140708,1
4,391.635,0.24353,5
5,489.88,0.262235,5
6,588.126,0.190695,5
7,686.371,0.245067,5
8,784.616,0.15523,5
9,884.207,0.219121,5
10,982.452,0.27441,5
11,1082.04,0.240512,5
12,1181.63,0.29066,5
13,1280.42,0.285129,5
14,1380.82,0.326837,5
15,1481.75,0.378698,5
16,1582.69,0.425677,5
17,1683.63,0.394583,5
18,1784.56,0.437457,5
19,1886.85,0.438414,5
20,1989.13,0.410043,4
21,2091.41,0.545889,5
22,2195.04,0.549715,5
23,2300.02,0.605511,2
24,2404.99,0.609752,3
29,2962.16,1.07171,1
30,3083.29,2.74643,2
43,4596.67,1.96805,2
44,4700.97,1.21373,1
48,5224.49,2.8488,1
49,5359.75,2.80517,2
50,5487.6,2.64107,2
51,5613.89,2.79573,3
52,5743.98,2.21574,2
53,5871.39,2.94342,3
54,5998.34,3.50013,2
69,8229.72,4.56055,1
73,8843.42,5.89495,1
