partial,f,sigma,count
1,78.0579,0.316185,5
2,154.77,0.247954,5
3,232.828,0.199519,5
4,310.886,0.168272,5
5,388.943,0.192201,5
6,467.001,0.196171,5
7,545.059,0.259816,5
8,623.117,0.238469,5
9,701.175,0.135702,1
10,779.233,0.215955,5
11,857.291,0.23561,5
12,936.694,0.247176,5
13,1014.75,0.260504,5
14,1094.16,0.229957,5
15,1173.02,0.37744,5
16,1251.89,0.310835,5
17,1332.37,0.539981,5
18,1411.77,0.304647,5
19,1492.52,0.32631,5
20,1574.62,0.32025,3
27,2186.97,0.732202,2
29,2345.77,1.21708,1
36,2987.73,0.630025,2
37,3077.09,0.600941,5
38,3163.23,0.758742,5
39,3252.86,0.720035,4
40,3340.79,1.07208,3
41,3433.2,1.03212,2
42,3547.6,1.66273,2
43,3628.34,1.62407,2
49,4257.29,1.11943,3
50,4351.5,1.84487,3
51,4447.5,1.70767,3
52,4547.99,1.44358,3
54,4783.06,1.45925,1
55,4867.85,2.44904,1
58,5229.88,2.44109,1
59,5341.58,2.58548,2
60,5437.13,3.28261,2
61,5550.63,2.46144,3
62,5657.85,3.37425,1
66,6149.75,2.4131,2
67,6282.31,3.71798,2
68,6391.32,3.50993,1
69,6507.74,4.66675,2
70,6629.54,3.09029,1
74,7177.29,5.26668,1
77,7564.88,5.86693,1
82,8262.02,6.31008,1
89,9280.81,3.95295,1
