partial,f,sigma,count
1,34.9915,0.185503,5
2,68.6371,0.1887,5
3,103.629,0.159293,5
4,137.274,0.157981,5
5,172.266,0.167702,5
7,241.172,0.166661,5
8,275.894,0.154683,5
9,310.886,0.132644,5
10,345.877,0.115534,3
11,380.869,0.153293,5
13,450.851,0.181877,5
14,499.301,4.68781,5
15,520.834,0.214887,5
16,557.172,0.129481,5
17,592.163,0.188469,5
18,627.424,0.232616,5
19,663.492,0.2185,5
20,699.829,0.228305,5
21,735.359,0.1736,5
22,772.504,0.208438,5
23,808.841,0.220344,5
24,845.178,0.253193,5
25,881.516,0.242391,5
26,919.199,0.313372,5
27,956.882,0.320239,5
28,998.871,0.470702,5
29,1033.59,0.328353,4
30,1072.62,0.347542,2
34,1255.65,0.6888,1
35,1295.58,0.538473,3
36,1334.16,0.632171,3
37,1379.47,0.484393,5
38,1421.19,0.508864,5
39,1461.03,0.52188,5
40,1498.44,0.632205,5
41,1543.66,0.574792,5
42,1584.31,0.685087,5
43,1625.76,0.624328,5
44,1668.82,0.635871,4
45,1710.54,0.701973,5
46,1753.61,0.733576,3
47,1796.68,0.776694,3
48,1838.4,0.845767,4
49,1882.81,0.83532,4
50,1926.89,0.905533,4
51,1971.63,0.943509,3
59,2387.49,1.07002,3
60,2435.05,1.19846,3
61,2483.5,1.1425,3
62,2532.17,1.21219,2
63,2581.74,1.49524,3
64,2636.47,1.23799,2
65,2680.88,1.22251,1
67,2784.51,1.55057,2
68,2835.65,1.65386,1
72,3085.98,1.88804,1
73,3127.7,2.24106,1
75,3262.28,2.40279,4
76,3319.48,3.07727,2
77,3372.64,2.92531,2
78,3430.51,2.94066,3
79,3496.9,4.79029,3
80,3545.35,3.02071,3
81,3601.88,3.0721,3
82,3661.99,3.03078,3
85,3854.44,3.97509,1
87,3996.2,6.4406,3
89,4122.26,4.2499,1
90,4209.07,4.85232,2
91,4270.3,4.39516,1
92,4336.92,4.75417,2
93,4399.95,5.38414,3
94,4464.78,5.50814,2
96,4598.01,5.11157,2
