partial,f,sigma,count
1,55.1788,0.259932,5
2,110.358,0.251913,5
3,164.191,0.214423,5
4,219.37,0.228925,5
5,274.548,0.246242,5
6,329.727,0.198471,5
7,384.906,0.308249,5
8,440.085,0.146159,4
9,495.264,0.138765,2
10,550.443,0.211193,5
11,605.621,0.193795,5
12,660.8,0.236993,5
13,715.979,0.284987,5
14,771.158,0.219728,5
15,827.682,0.199633,5
16,882.861,0.221089,5
17,938.309,0.245091,5
18,994.565,0.31023,5
19,1051.09,0.206441,5
20,1110.31,0.307313,4
21,1168.18,0.285841,2
26,1487.14,0.857798,3
27,1543.66,0.648547,2
28,1598.84,0.675601,2
29,1655.36,0.629327,1
30,1734.77,0.510015,2
31,1796.68,0.489806,5
32,1857.24,0.490155,5
33,1914.77,0.524603,4
34,1975,0.447663,4
35,2035.43,0.481986,5
36,2096.8,0.521645,5
37,2157.36,0.493316,5
40,2383.46,0.656503,2
41,2441.33,0.639025,3
42,2519.38,0.708477,4
43,2585.33,0.705479,4
44,2648.92,0.803596,4
45,2710.04,0.767897,3
46,2773.3,0.900298,3
47,2843.06,0.94604,2
49,3011.96,2.06169,2
50,3069.83,1.38022,2
51,3156.97,1.37721,4
52,3233.57,1.56189,3
53,3301.31,1.80184,3
54,3364.56,1.14374,3
55,3438.58,1.52828,1
56,3535.48,1.55705,1
57,3598.06,1.32078,4
58,3692.5,1.91412,3
59,3760.91,1.31341,4
60,3847.27,1.85653,3
61,3917.02,1.35842,4
62,4007.87,1.66248,1
63,4110.15,2.28516,2
64,4181.93,2.3633,3
65,4260.43,2.31154,3
66,4348.81,2.5597,3
67,4422.83,2.05293,3
69,4618.87,2.76848,2
70,4692.89,2.60769,3
71,4798.32,2.79184,3
72,4875.48,2.2465,3
73,4956.67,2.97203,1
74,5073.31,3.27069,3
75,5157.2,3.27969,2
76,5264.42,3.23499,3
77,5346.96,3.51594,2
78,5428.39,3.17054,2
79,5545.25,3.19581,3
80,5626,3.19969,3
81,5749.37,2.99454,3
82,5837.52,3.30277,2
83,5921.63,4.07838,2
84,6036.03,4.26067,2
85,6120.14,4.50032,2
86,6247.32,2.8492,1
87,6348.26,4.81731,2
88,6435.74,4.57644,2
89,6544.07,4.19836,2
92,6879.19,5.63883,2
93,6985.51,7.75564,2
