partial,f,sigma,count
1,36.3373,0.195282,5
2,72.6746,0.182622,5
3,109.012,0.143211,5
4,146.695,0.143483,5
6,219.37,0.14992,5
7,255.707,0.153037,5
8,293.39,0.184489,5
9,329.727,0.108833,5
10,366.064,0.14777,5
11,403.748,0.157377,5
12,440.085,0.178354,5
13,477.768,0.226079,5
14,514.644,0.179215,5
15,551.788,0.157624,5
16,589.471,0.173256,5
17,627.155,0.232481,5
18,664.838,0.218989,5
19,702.521,0.201412,5
20,740.204,0.190541,5
21,777.887,0.201949,5
22,816.378,0.21812,5
23,854.599,0.237028,5
24,893.628,0.269537,5
25,934.003,0.29875,5
27,1028.21,2.61704,5
28,1066.57,0.903273,2
29,1103.58,0.923524,1
34,1330.21,0.43658,5
35,1371.4,0.477801,5
36,1413.12,0.532094,5
37,1454.84,0.552727,5
38,1496.56,0.526502,5
39,1539.89,0.535962,5
40,1581.34,0.749982,5
41,1624.41,0.655115,5
42,1667.48,0.642452,5
43,1710.54,0.701023,5
44,1753.61,0.803302,5
45,1799.37,0.860199,4
50,2055.08,2.88474,4
51,2112.95,0.979927,4
52,2160.32,1.04645,5
53,2207.15,0.998125,4
54,2254.26,1.13175,4
55,2301.7,1.16926,4
56,2349.36,1.06266,3
57,2397.92,1.16229,4
58,2448.06,1.21712,2
60,2570.53,1.37367,4
63,2744.14,1.19598,2
64,2785.86,1.2236,1
65,2849.78,1.4664,2
66,2902.27,1.48712,2
67,2955.43,1.80708,3
68,3009.94,1.81531,4
69,3084.63,2.01598,5
71,3205.76,2.21504,1
72,3248.15,2.15981,2
74,3392.83,2.60071,3
75,3449.8,2.4199,3
76,3505.43,2.5594,3
77,3561.5,3.09174,3
78,3619.37,3.74446,3
79,3682.18,2.9624,2
80,3773.69,2.1033,1
83,3954.03,2.41915,1
84,4038.82,3.38576,2
85,4106.56,4.99403,3
86,4161.29,4.50357,1
87,4225.89,4.24309,1
88,4288.47,4.24188,2
93,4676.07,5.2489,2
94,4744.71,5.41912,2
95,4812,4.64263,2
96,4875.92,6.479,1
