partial,f,sigma,count
1,196.49,0.302125,5
2,391.635,0.242712,5
3,588.126,0.197455,3
4,784.616,0.272541,5
5,982.452,0.37098,5
6,1180.29,0.382097,5
7,1378.39,0.351645,5
8,1577.31,0.394217,5
9,1779.18,0.448252,5
10,1981.86,0.506086,5
11,2184.27,0.584343,5
12,2389.11,0.640491,5
13,2594.75,0.953701,5
14,2803.35,0.972552,4
15,3012.76,1.02518,5
16,3225.14,1.14833,5
17,3439.93,1.35613,4
18,3655.26,1.35987,4
19,3873.28,1.99278,5
20,4096.69,1.40065,4
21,4321.44,1.4485,3
22,4573.11,1.17404,1
29,6237.23,3.14509,2
