partial,f,sigma,count
1,110.358,0.323807,5
2,219.37,0.242345,4
3,329.727,0.139583,3
4,440.085,0.205321,5
5,550.443,0.241679,5
6,660.8,0.159111,5
7,771.158,0.20696,5
8,881.516,0.207457,5
9,991.873,0.283663,5
10,1103.58,0.261301,5
11,1216.63,0.287287,5
12,1331.02,0.364001,4
20,2318.86,0.823271,1
23,2702.42,0.702486,3
24,2820.85,1.11392,1
25,2943.32,1.03123,1
26,3102.13,3.48038,3
27,3216.52,3.03435,2
28,3382.06,3.72044,5
30,3666.03,1.14363,3
31,3794.22,1.52152,4
36,4558.98,2.02928,4
39,5054.92,1.16328,1
41,5360.42,2.51727,3
45,6062.94,3.75877,1
48,6643.67,2.95161,2
51,7213.62,3.41429,1
52,7393.96,4.6802,2
55,8026.5,5.24297,2
