partial,f,sigma,count
1,117.087,0.234613,5
2,232.828,0.205015,3
3,349.915,0.247821,4
4,465.656,0.239686,5
5,582.742,0.206245,5
6,699.829,0.178389,5
7,816.916,0.229094,5
8,934.003,0.219994,5
9,1052.44,0.281029,5
10,1169.52,0.357221,5
11,1289.3,0.32068,5
12,1411.77,0.484116,2
20,2457.48,1.00601,2
21,2575.91,0.964385,1
24,2995.81,0.800333,4
25,3123.39,0.899351,5
26,3289.2,1.6531,3
27,3410.32,1.55822,3
28,3559.71,0.689241,2
31,4038.82,1.65993,3
32,4171.39,1.79207,4
34,4499.09,1.49435,1
37,5001.42,2.49273,4
42,5874.98,2.65182,3
46,6638.96,4.07826,2
