partial,f,sigma,count
1,138.62,0.276969,3
2,277.24,0.307625,5
3,415.86,0.214649,3
4,554.48,0.263124,5
5,693.1,0.234862,5
6,833.066,0.293806,5
7,972.224,0.394665,5
8,1111.65,0.280723,5
9,1252.96,0.315673,5
10,1392.93,0.344361,5
11,1535.59,0.367792,5
12,1680.94,0.407886,2
21,3069.83,1.37291,2
26,3910.97,1.17894,5
27,4071.12,1.47102,3
28,4228.58,1.31426,5
35,5559.6,2.51933,3
36,5733.22,2.32826,3
38,6130.23,3.44587,1
42,7005.02,3.60423,2
43,7192.76,4.46825,2
48,8367,6.61343,1
49,8571.56,6.79187,2
54,9850.09,10.3431,1
