partial,f,sigma,count
1,123.816,0.247285,5
2,246.286,0.201048,3
4,493.918,0.199304,5
5,617.734,0.141095,2
6,741.55,0.223444,5
7,865.366,0.246375,5
8,990.527,0.247961,5
9,1114.34,0.216359,5
10,1239.51,0.28203,5
11,1366.01,0.368758,5
12,1496.56,0.408433,2
21,2730.68,0.868139,2
24,3182.88,0.8904,4
25,3320.15,0.961723,4
26,3457.42,1.15606,4
27,3616.68,1.54753,3
32,4442.57,1.57489,3
33,4591.06,1.85798,3
34,4776.33,1.71592,1
37,5299.86,2.45194,1
38,5489.62,2.81489,3
39,5645.74,2.99623,2
44,6607.33,3.70744,2
48,7451.83,4.64438,2
50,7886.54,6.23596,1
53,8520.42,7.29886,1
