partial,f,sigma,count
1,61.908,0.260455,4
2,123.816,0.30357,5
3,184.378,0.275543,5
4,246.286,0.212499,5
5,308.194,0.213717,5
6,370.102,0.167856,5
7,432.01,0.139819,1
8,493.918,0.137191,4
9,555.826,0.205669,5
10,617.734,0.23551,5
11,679.642,0.134379,3
12,742.896,0.190661,5
13,804.803,0.240183,5
14,866.711,0.1831,5
15,929.965,0.196666,5
16,993.219,0.237936,5
17,1056.47,0.282418,5
18,1118.92,0.255684,5
19,1182.98,0.294035,5
20,1247.58,0.279091,5
21,1312.18,0.370832,5
22,1378.12,0.409762,1
27,1734.77,0.510478,2
29,1859.93,0.692476,1
34,2227.34,0.417288,4
35,2295.98,0.456795,5
36,2364.61,0.515589,3
37,2433.59,0.550688,4
38,2502.9,0.582856,4
39,2572.32,0.55938,3
41,2746.83,0.855673,1
42,2811.43,0.828267,1
46,3139.81,0.981523,4
47,3217.87,1.08801,1
48,3287.85,0.974042,4
49,3369.27,1.41179,4
50,3437.24,0.975804,4
51,3524.72,1.22491,2
54,3788.5,1.43957,2
55,3859.83,1.44881,1
56,3972.88,1.0053,3
57,4054.07,1.19951,3
58,4129.89,1.25932,3
59,4225.89,1.2365,4
63,4612.14,1.75555,3
64,4699.17,1.9764,3
65,4783.06,2.01566,3
66,4869.64,1.72617,3
68,5070.4,2.16356,4
70,5291.78,2.82254,2
71,5379.26,2.61619,3
72,5468.09,2.62873,3
73,5571.04,2.59717,2
77,6010.46,3.52086,1
78,6103.32,3.90427,1
79,6205.6,3.9775,1
80,6309.9,3.63892,2
84,6761.43,4.26946,1
85,6893.32,5.05483,1
86,6992.91,5.20566,1
91,7605.93,3.90825,2
92,7708.89,4.74476,1
