partial,f,sigma,count
1,130.545,0.299082,5
2,261.09,0.236621,4
3,392.173,0.269978,5
4,523.526,0.422625,5
5,654.071,0.29916,5
6,785.962,0.186306,1
7,917.853,0.247115,5
8,1049.74,0.398138,5
9,1181.63,0.484354,5
10,1314.87,0.335386,5
11,1448.11,0.49424,5
12,1585.38,0.351955,2
21,2894.87,1.4379,1
25,3530.1,1.69059,5
26,3675.72,1.44267,5
27,3826.18,1.1771,3
34,5049.54,2.43726,3
40,6198.87,2.94385,2
41,6375.17,2.90813,1
46,7435.68,5.33467,1
51,8556.76,6.9791,1
55,9552.67,7.89417,1
56,9766.65,9.40944,1
