partial,f,sigma,count
1,32.2998,0.227445,5
2,64.5996,0.20568,5
3,96.8994,0.135067,5
4,130.545,0.17526,5
5,162.845,0.156185,5
6,195.145,0.145079,5
7,227.444,0.173485,5
9,293.39,0.159795,5
10,326.228,0.153989,5
11,359.335,0.14547,5
12,392.981,0.123314,3
13,425.281,0.140681,5
14,458.926,0.149468,5
15,492.572,0.172091,5
16,526.218,0.166021,5
17,559.863,0.17883,5
18,593.509,0.195578,5
19,627.155,0.166001,5
20,660.8,0.190402,5
21,695.792,0.198951,5
22,729.706,0.207651,5
23,764.429,0.210194,5
24,803.188,0.299126,5
25,834.412,0.238625,5
26,869.403,0.259677,5
27,904.933,0.257165,5
28,940.732,0.291747,5
29,977.338,0.297299,5
30,1013.41,0.310882,5
31,1049.74,0.355454,5
32,1086.08,0.358502,5
33,1123.76,0.410876,2
34,1187.02,0.929621,2
35,1210.57,0.691088,2
36,1254.31,0.927138,1
37,1288.63,0.949444,2
38,1322.95,0.975718,1
39,1356.59,0.759347,3
41,1460.22,0.93333,4
42,1494.76,0.980187,3
43,1529.31,1.02524,3
45,1625.76,0.821779,2
46,1667.48,0.664733,4
47,1710.54,0.799631,4
48,1753.61,0.765932,4
49,1795.33,0.913034,4
50,1838.4,0.869465,4
51,1880.12,0.876409,4
52,1925.07,0.885195,5
53,1967.6,0.929191,5
54,2011.34,1.00271,4
55,2056.42,1.00892,4
56,2102.18,1.06283,2
57,2147.49,1.06482,3
58,2192.8,1.12592,3
59,2238.78,1.0697,4
60,2285.55,0.992163,4
61,2332.31,1.23875,3
62,2380.32,1.2276,3
63,2428.54,1.15816,2
64,2476.32,1.10891,3
65,2524.77,1.13703,2
67,2624.36,1.31459,1
68,2675.5,1.40824,1
71,2855.84,1.7647,4
74,3014.65,1.72917,2
75,3055.02,2.04645,2
76,3135.77,2.06099,1
77,3176.15,2.35908,1
79,3299.29,2.23199,2
80,3340.34,2.45048,2
81,3420.19,3.52275,3
82,3478.06,3.37486,3
83,3537.17,4.12913,4
84,3595.71,3.46708,4
85,3655.71,3.98508,3
86,3713.8,3.67582,4
87,3773.69,3.29734,3
88,3832.24,3.59494,2
89,3892.8,3.6033,2
90,3951.79,4.37915,3
91,4017.74,4.79949,3
92,4077.4,4.8469,3
93,4143.12,4.6876,2
94,4204.36,5.54439,3
95,4285.44,4.2588,4
