partial,f,sigma,count
1,92.8619,0.335481,5
2,184.378,0.199121,5
3,277.24,0.184267,4
4,370.102,0.256079,4
5,461.618,0.195487,3
6,554.48,0.199685,5
7,647.342,0.195661,5
9,834.412,0.260955,5
10,927.274,0.219377,5
11,1021.48,0.314583,5
12,1114.34,0.28621,5
13,1208.55,0.22542,5
14,1302.76,0.281414,5
15,1396.97,0.394104,5
16,1492.52,0.355024,5
17,1586.73,0.453005,5
18,1682.28,0.479889,5
19,1778.1,0.408098,5
20,1874.73,0.435347,5
21,1972.98,0.494753,5
22,2071.23,0.579214,3
23,2170.82,0.635394,1
28,2699.73,0.855308,2
29,2793.93,1.14976,1
43,4344.32,1.74072,4
44,4457.71,1.69847,4
45,4570.42,1.55217,4
46,4682.13,1.82021,4
47,4798.32,2.22939,3
48,4921.68,2.34907,1
49,5032.04,1.91951,1
52,5420.98,2.10053,1
61,6616.08,2.90201,3
62,6749.31,4.72141,2
63,6877.17,3.08768,1
64,7011.75,4.13918,2
65,7173.25,1.47457,1
74,8532.53,7.72192,1
75,8669.81,5.4167,1
76,8817.85,7.09314,1
77,8972.62,5.27119,1
