partial,f,sigma,count
1,82.0953,0.260834,5
2,164.998,0.194259,5
3,247.632,0.297335,5
4,329.727,0.20228,5
5,411.823,0.172611,5
6,493.918,0.259418,5
7,577.359,0.207534,5
8,659.454,0.226658,5
9,742.896,0.278999,5
10,824.991,0.209783,5
11,908.432,0.265594,5
12,991.873,0.262834,5
13,1075.31,0.246472,5
14,1158.76,0.41009,5
15,1243.54,0.281901,5
16,1326.98,0.587498,5
17,1411.77,0.276402,5
18,1496.56,0.311184,5
19,1581.34,0.330216,5
20,1668.82,0.818066,1
21,1756.3,0.948548,1
36,3162.69,0.953773,2
37,3264.97,0.689949,4
38,3359.85,0.887839,4
39,3452.71,1.01999,4
40,3546.25,0.919685,1
41,3644.49,1.18207,3
42,3739.38,1.32677,4
43,3847.71,1.33426,3
51,4730.58,1.56559,3
52,4830.62,2.08488,3
53,4936.94,2.14776,3
54,5047.29,2.4137,3
55,5163.93,1.74991,1
61,5900.1,3.54673,2
62,6023.24,3.86389,2
63,6136.96,4.26482,1
71,7170.56,3.81008,1
