partial,f,sigma,r2
1,28.2623,0.204699,0.879685
2,57.8705,0.222322,0.921225
3,86.1328,0.190821,0.898581
4,115.741,0.188832,0.890154
5,145.349,0.169465,0.851814
8,232.828,0.145617,0.849784
9,261.09,0.140003,0.707809
10,290.698,0.130992,0.512304
11,320.306,0.122249,0.645708
12,349.915,0.116012,0.555421
13,380.869,0.174958,0.865355
14,410.477,0.15384,0.638442
15,440.085,0.189013,0.87601
16,471.039,0.172034,0.68386
17,501.993,0.159558,0.747087
18,532.947,0.214376,0.93168
19,563.901,0.185975,0.844956
20,594.855,0.272004,0.898561
21,625.809,0.23109,0.92469
22,658.109,0.234263,0.94511
23,689.062,0.236041,0.924367
24,721.362,0.213506,0.885926
25,753.662,0.235712,0.930505
26,787.308,0.252487,0.924364
27,820.953,0.279461,0.954592
28,853.253,0.287613,0.95662
29,886.899,0.34894,0.993294
30,921.89,0.314128,0.970282
31,955.536,0.346089,0.974787
32,990.527,0.437373,0.968654
36,1126.46,0.655933,0.983199
37,1157.41,0.956636,0.999773
38,1172.21,0.526281,0.97081
39,1207.21,0.541099,0.977484
40,1244.89,0.678761,0.958615
41,1283.92,0.633636,0.986749
42,1320.25,0.688389,0.955666
43,1359.28,0.772985,0.958997
44,1398.31,0.762787,0.998886
45,1437.34,0.823712,0.989201
46,1477.72,1.01463,0.960939
47,1518.09,0.906062,0.968375
48,1559.81,0.917114,0.981209
49,1600.19,1.65262,0.992053
50,1640.56,1.2569,0.998511
52,1707.85,1.2178,0.999948
55,1816.86,1.36657,0.995901
56,1859.93,1.41969,0.959488
57,1904.34,1.77765,0.978099
58,1950.1,1.56859,0.92811
59,1995.86,1.53855,0.968436
60,2041.62,1.76147,0.97391
62,2135.82,1.79407,0.978571
68,2382.11,2.09573,0.968435
69,2433.25,2.20325,0.9814
71,2535.53,2.23188,0.961104
72,2588.02,2.56641,0.992231
73,2641.85,2.66093,0.992424
74,2693,2.54331,0.996843
76,2793.93,3.46501,0.983868
81,3030.8,4.1421,0.94826
82,3084.63,3.59675,0.963751
83,3146.54,4.50788,0.940906
84,3205.76,5.02726,0.95843
85,3262.28,4.59966,0.943453
91,3571.82,6.0078,0.952775
93,3695.64,4.49978,0.866507
95,3807.34,3.82929,0.824887
