partial,f,sigma,r2
1,55.1788,0.268126,0.88376
2,110.358,0.233911,0.841085
3,164.191,0.220276,0.781703
4,219.37,0.207539,0.87065
5,274.548,0.281398,0.800421
6,329.727,0.192183,0.699535
7,384.906,0.300278,0.852654
8,440.085,0.143761,0.573209
10,550.443,0.207822,0.757259
11,605.621,0.21527,0.813062
12,660.8,0.244277,0.78881
13,715.979,0.285626,0.815663
14,771.158,0.214223,0.746004
15,827.682,0.18922,0.616883
16,882.861,0.222385,0.737197
17,938.04,0.229482,0.755124
18,994.565,0.305735,0.903662
19,1051.09,0.185365,0.608608
20,1110.31,0.301805,0.876028
26,1487.14,0.859769,0.951484
31,1796.68,0.47286,0.969684
32,1857.24,0.487025,0.989927
33,1915.11,0.515722,0.958048
34,1975.67,0.425281,0.978206
35,2033.54,0.47887,0.985295
36,2096.8,0.491368,0.979512
37,2157.36,0.484,0.971472
41,2441.33,0.622647,0.981353
42,2519.38,0.73039,0.999803
43,2588.02,0.68369,0.927386
44,2649.93,0.774833,0.967704
45,2707.8,0.729743,0.938186
46,2777.78,0.825715,0.966758
51,3157.31,1.33267,0.887051
52,3232.67,1.71501,0.921221
53,3301.31,1.84306,0.94081
54,3363.22,1.4957,0.829247
57,3597.39,1.27357,0.960101
58,3692.94,2.18962,0.935902
59,3761.58,1.26476,0.839433
60,3845.02,1.67946,0.849523
61,3916.35,1.28793,0.857731
64,4182.82,2.43125,0.89097
65,4274.34,2.27951,0.881932
66,4347.02,3.04197,0.952118
67,4421.04,1.9708,0.920051
70,4694.24,1.93826,0.822672
71,4796.52,2.41144,0.871385
72,4873.23,2.13062,0.826511
74,5075.11,3.75929,0.929533
76,5262.18,4.05358,0.909905
79,5547.49,2.73047,0.800187
80,5628.24,3.59492,0.836871
81,5749.37,3.30869,0.889184
