partial,f,sigma,r2
1,196.49,0.293921,0.938507
2,391.635,0.243257,0.823
3,588.126,0.153167,0.532876
4,784.616,0.277952,0.713249
5,982.452,0.363275,0.910167
6,1180.29,0.37796,0.870455
7,1378.12,0.337205,0.830197
8,1577.31,0.380751,0.881714
9,1779.18,0.439345,0.930151
10,1982.4,0.504927,0.968989
11,2184.27,0.577819,0.896152
12,2388.84,0.641358,0.957198
13,2594.75,0.897345,0.951016
14,2803.35,0.898776,0.948067
15,3013.3,0.997099,0.971619
16,3224.6,0.993647,0.962863
17,3439.93,1.68907,0.883028
18,3655.26,1.26977,0.86055
19,3873.28,1.52714,0.850897
20,4096.69,1.34641,0.90531
21,4321.44,1.33527,0.811308
