partial,f,sigma,r2
1,92.8619,0.371669,0.962001
2,184.378,0.211389,0.717319
4,370.102,0.279087,0.759739
5,461.618,0.172207,0.543555
6,554.48,0.200281,0.651749
7,647.342,0.192565,0.675684
9,834.412,0.26299,0.827414
10,927.274,0.212979,0.700473
11,1021.48,0.320104,0.907128
12,1114.34,0.271251,0.842633
13,1208.55,0.22426,0.738995
14,1302.76,0.277209,0.802622
15,1396.97,0.386022,0.880958
16,1492.52,0.344001,0.858155
17,1586.73,0.442688,0.914333
18,1682.28,0.463249,0.897213
19,1777.84,0.399088,0.930187
20,1874.73,0.443076,0.970411
21,1972.98,0.506474,0.893158
22,2071.23,0.521364,0.926064
43,4344.32,1.56633,0.924709
44,4457.37,1.62074,0.898539
45,4570.42,1.58932,0.923934
46,4682.13,1.75686,0.833272
47,4797.87,2.40405,0.885537
61,6616.08,2.54434,0.727865
