partial,f,sigma,r2
1,48.4497,0.274893,0.846068
2,98.2452,0.216633,0.792419
3,146.695,0.230919,0.869888
4,195.145,0.218585,0.877601
5,244.94,0.202836,0.817298
7,341.84,0.183575,0.713304
8,391.635,0.227108,0.929046
9,440.085,0.1111,0.62791
10,489.88,0.280425,0.791412
11,539.676,0.152508,0.716397
12,588.126,0.205255,0.622937
13,637.921,0.281134,0.766477
14,687.717,0.198366,0.876105
15,737.512,0.222731,0.820835
16,787.308,0.185083,0.595474
17,837.103,0.227609,0.757513
18,886.899,0.237807,0.813448
19,936.694,0.315116,0.905158
20,987.836,0.275312,0.83675
21,1038.98,0.257738,0.680435
22,1091.46,0.285505,0.884551
23,1143.95,0.236769,0.711585
25,1274.5,0.677734,0.844738
26,1325.64,0.660413,0.88799
27,1375.43,0.561286,0.918409
28,1425.23,0.568009,0.782913
29,1473.68,0.563699,0.888227
32,1658.06,0.459845,0.965613
33,1713.24,0.418173,0.921549
34,1767.07,0.512871,0.938448
35,1819.56,0.467301,0.970098
36,1873.39,0.502329,0.963194
37,1928.57,0.53052,0.924303
38,1983.75,0.479884,0.9801
39,2038.93,0.521566,0.991652
41,2177.55,0.843493,0.940791
45,2431.91,0.760518,0.88844
46,2488.43,0.721899,0.96968
48,2604.17,0.830528,0.965076
54,3002.54,1.44117,0.928596
55,3083.29,1.59174,0.880587
56,3146.54,1.38442,0.864477
57,3209.79,1.19811,0.940141
58,3271.7,1.37402,0.922708
59,3360.53,1.23182,0.921842
62,3587.97,1.98311,0.900804
63,3657.95,1.61692,0.807527
64,3719.86,2.07349,0.899186
65,3785.81,2.27738,0.915544
68,4033.44,1.94884,0.931695
71,4260.88,2.93364,0.924234
72,4336.25,3.27873,0.920356
77,4760.18,4.02012,0.939848
78,4834.2,3.9498,0.930573
83,5293.13,3.60234,0.881423
84,5377.92,2.21913,0.711235
