partial,f,sigma,r2
1,36.3373,0.212841,0.911935
2,72.6746,0.187277,0.885443
3,109.012,0.1418,0.650152
4,146.695,0.145627,0.769765
6,219.37,0.14797,0.64729
7,255.707,0.153437,0.804725
8,293.39,0.178147,0.859191
9,329.727,0.106782,0.588224
10,366.064,0.140747,0.692045
11,403.748,0.155808,0.640581
12,440.085,0.17486,0.677206
13,477.768,0.225658,0.939309
14,514.105,0.174065,0.866401
15,551.788,0.156174,0.698289
16,589.471,0.171654,0.767416
17,627.155,0.229951,0.927113
18,664.838,0.215717,0.869626
19,702.521,0.200813,0.790872
20,740.204,0.186416,0.86361
21,777.887,0.200463,0.861932
22,816.916,0.215203,0.911659
23,854.599,0.234351,0.925422
24,893.628,0.274861,0.932856
25,934.003,0.301509,0.9436
27,1028.21,3.00121,0.967279
34,1329.68,0.443105,0.979064
35,1371.4,0.469856,0.984981
36,1413.12,0.526881,0.983679
37,1454.84,0.542329,0.964332
38,1496.56,0.518917,0.995571
39,1540.97,0.505685,0.830005
40,1581.34,0.71979,0.950615
41,1624.41,0.645583,0.955146
42,1667.48,0.630933,0.975248
43,1710.54,0.689477,0.99285
44,1753.61,0.792972,0.926129
45,1799.37,0.849995,0.917485
50,2055.08,2.81416,0.979378
51,2112.95,0.949178,0.982766
52,2160.05,1.04238,0.954583
53,2207.15,0.974237,0.972632
54,2254.26,1.10922,0.942467
55,2301.36,1.14951,0.957799
56,2348.46,1.02124,0.976569
57,2398.26,1.11644,0.984012
60,2570.53,1.32776,0.988173
67,2955.43,1.72474,0.999214
68,3009.27,1.76656,0.968836
69,3084.63,1.89275,0.98215
74,3392.83,3.15579,0.910742
75,3449.35,2.80416,0.855823
76,3504.53,3.01806,0.866744
77,3561.05,3.39445,0.952227
78,3618.92,3.97503,0.963403
85,4110.15,5.86072,0.992635
