partial,f,sigma,r2
1,72.6746,0.188805,0.507912
2,146.695,0.150095,0.586623
3,219.37,0.191909,0.642897
7,514.105,0.184325,0.62784
8,588.126,0.217015,0.743831
9,660.8,0.205146,0.703899
10,734.821,0.224088,0.763756
11,808.841,0.199489,0.633919
12,882.861,0.22838,0.75308
13,956.882,0.244006,0.825681
14,1032.25,0.246697,0.697861
15,1106.27,0.224297,0.719169
16,1181.63,0.357119,0.904079
17,1255.65,0.294156,0.858466
18,1331.02,0.437991,0.876888
19,1407.73,0.36409,0.959468
35,2733.37,0.525271,0.954373
36,2814.12,0.590035,0.962268
37,2897.56,0.535196,0.936593
38,2978.31,0.595818,0.974341
39,3061.75,0.664953,0.962592
48,3917.7,1.66179,0.902904
49,4002.48,1.12531,0.933264
50,4091.31,1.70577,0.891302
57,4828.82,1.98318,0.826547
58,4916.3,2.42645,0.905777
59,5018.58,2.26778,0.892821
