partial,f,sigma,r2
1,110.358,0.273946,0.910203
3,329.727,0.141866,0.520551
4,440.085,0.21187,0.605753
5,550.443,0.241288,0.801269
6,660.8,0.163843,0.71492
7,771.158,0.203056,0.698808
8,881.516,0.19108,0.539011
9,991.873,0.28676,0.85168
10,1103.58,0.240437,0.720912
11,1216.63,0.303211,0.809216
12,1331.02,0.36303,0.792734
23,2702.42,0.748008,0.958703
26,3102.13,4.67298,0.965049
28,3382.06,4.22983,0.943985
30,3666.03,1.26672,0.954271
31,3793.88,1.79201,0.851968
36,4558.31,2.06886,0.867576
41,5360.42,3.26006,0.850437
