partial,f,sigma,r2
1,39.0289,0.184881,0.861527
2,78.0579,0.16844,0.838566
3,115.741,0.175436,0.854678
4,154.77,0.118362,0.666372
5,193.799,0.161192,0.820939
6,232.828,0.174358,0.843872
7,271.857,0.167538,0.815315
8,310.886,0.104259,0.55926
9,349.915,0.146079,0.724853
10,388.943,0.177556,0.835052
11,427.972,0.143887,0.751679
12,467.001,0.221387,0.911444
13,506.03,0.177153,0.842152
14,545.059,0.196771,0.882912
15,585.434,0.233703,0.946788
16,624.463,0.182,0.789933
17,664.838,0.190318,0.796069
18,703.867,0.194078,0.899399
19,744.241,0.207795,0.921297
20,784.616,0.234685,0.925923
21,824.991,0.220069,0.839083
22,865.366,0.235576,0.897282
23,907.086,0.30739,0.980695
24,947.461,0.27632,0.908244
25,990.527,0.315208,0.952649
26,1032.25,0.353095,0.963732
27,1099.54,2.75724,0.962218
28,1118.38,0.368338,0.994251
35,1454.84,0.530982,0.974335
36,1499.25,0.523783,0.96512
37,1545.01,0.585593,0.974482
38,1588.07,0.559213,0.984144
39,1633.83,0.681626,0.977298
40,1678.24,0.64357,0.989608
41,1724,0.685867,0.9995
42,1769.76,0.748848,0.987632
43,1816.86,0.799838,0.994225
44,1862.62,0.822222,0.981824
45,1909.73,0.847368,0.953665
46,1956.83,0.884528,0.972372
53,2345.77,1.02549,0.986571
54,2396.91,1.20731,0.999411
57,2550.34,1.12286,0.979297
58,2602.83,1.26373,0.954707
59,2653.97,1.17388,0.975484
60,2707.8,1.29373,0.961613
66,3088.67,1.9799,0.934092
67,3145.19,2.47097,0.902945
68,3201.72,1.64092,0.949069
69,3259.59,2.56631,0.882757
70,3317.46,2.70082,0.920861
71,3376.68,1.97788,0.853387
78,3857.14,4.57988,0.913086
79,3921.73,3.79625,0.89973
80,3983.64,4.52978,0.914643
81,4045.55,4.26267,0.884607
82,4111.5,3.99927,0.892434
86,4403.54,5.70307,0.92092
89,4643.1,4.85879,0.892324
