partial,f,sigma,r2
1,78.0579,0.365966,0.933542
2,154.77,0.30137,0.905279
3,232.828,0.236469,0.718781
4,310.886,0.157123,0.666039
5,388.943,0.185263,0.612291
6,467.001,0.213506,0.6315
7,545.059,0.279753,0.844464
8,623.117,0.253819,0.768844
10,779.233,0.208864,0.74263
11,857.291,0.231221,0.769978
12,936.694,0.254288,0.84105
13,1014.75,0.273015,0.818927
14,1094.16,0.21373,0.748099
15,1173.56,0.381707,0.907455
16,1251.62,0.296353,0.827576
17,1332.37,0.523596,0.955687
18,1411.77,0.304135,0.885964
19,1492.52,0.319991,0.90534
20,1574.62,0.306151,0.879198
37,3076.56,0.544804,0.962459
38,3162.69,0.580859,0.94837
39,3252.86,0.682965,0.939107
40,3341.68,1.3882,0.79436
49,4259.54,1.12266,0.867092
50,4349.71,1.90598,0.93269
51,4446.61,2.16779,0.923749
52,4547.54,1.66326,0.918818
61,5550.18,3.06739,0.751626
