partial,f,sigma,r2
1,68.6371,0.272701,0.876134
2,138.62,0.201667,0.638812
4,277.24,0.260537,0.803076
5,345.877,0.194655,0.836342
7,484.497,0.202611,0.848557
8,554.48,0.217662,0.737367
9,624.463,0.200468,0.657192
10,693.1,0.23641,0.890475
11,763.083,0.193386,0.684989
12,833.066,0.215473,0.763635
13,903.049,0.214386,0.763601
14,974.377,0.197165,0.64223
15,1044.36,0.249917,0.663044
16,1114.34,0.278719,0.847598
17,1185.67,0.258927,0.828364
18,1255.65,0.305525,0.887642
19,1328.33,0.35788,0.905106
34,2497.85,0.622243,0.956564
35,2575.91,0.568027,0.951699
36,2651.28,0.565391,0.961571
37,2729.33,0.618835,0.977088
38,2806.05,0.583945,0.976121
46,3519.33,1.54715,0.924519
48,3682.18,1.52699,0.900103
49,3768.31,1.04274,0.876271
55,4357.78,1.62946,0.85012
57,4538.12,1.95286,0.781683
