partial,f,sigma,r2
1,32.2998,0.218768,0.936407
2,64.5996,0.200386,0.897419
3,96.8994,0.140156,0.674715
4,130.545,0.18134,0.865947
5,162.845,0.152701,0.799267
6,195.145,0.147516,0.694385
7,227.444,0.17921,0.857033
9,293.39,0.162107,0.797829
10,325.69,0.153157,0.799834
11,359.335,0.14417,0.688867
12,392.981,0.118866,0.515155
13,425.281,0.139341,0.617927
14,458.926,0.14843,0.588228
15,492.572,0.168961,0.741207
16,526.218,0.165006,0.785646
17,559.863,0.176657,0.715439
18,593.509,0.194636,0.817797
19,627.155,0.163347,0.70936
20,660.8,0.186667,0.771644
21,695.792,0.195535,0.845052
22,729.437,0.206246,0.861511
23,764.429,0.210235,0.83939
24,799.42,0.213003,0.886811
25,834.412,0.234407,0.813188
26,869.403,0.255843,0.933347
27,904.395,0.255111,0.946732
28,940.732,0.28766,0.945648
29,977.069,0.293477,0.962342
30,1013.41,0.306502,0.948023
31,1049.74,0.349973,0.994416
32,1086.08,0.353353,0.991431
39,1356.59,0.633373,0.977917
41,1460.22,0.903445,0.999907
42,1493.87,0.942719,0.998416
43,1528.86,1.00447,0.989597
46,1667.48,0.648011,0.972332
47,1710.54,0.776863,0.954434
48,1753.61,0.743287,0.958704
49,1795.33,0.891758,0.999679
50,1838.4,0.839449,0.950476
51,1880.12,0.84898,0.993591
52,1924.53,0.873619,0.996468
53,1967.6,0.911391,0.988261
54,2010.66,0.97248,0.990199
55,2056.42,0.976753,0.998728
57,2146.59,1.02009,0.987389
58,2192.35,1.09773,0.996906
59,2238.11,1.05634,0.945988
60,2285.21,0.985862,0.955963
61,2332.31,1.20402,0.955064
62,2380.76,1.16335,0.99289
64,2476.32,1.06162,0.988539
71,2855.84,1.70793,0.997153
81,3419.74,3.78946,0.948037
82,3477.61,3.90455,0.930118
83,3536.83,4.52263,0.951417
84,3596.04,3.10432,0.902973
85,3655.26,4.4159,0.924099
86,3713.13,4.83019,0.936197
87,3773.69,1.61268,0.654459
90,3951.34,3.55114,0.873785
91,4017.29,4.59833,0.948571
92,4076.5,5.41612,0.941872
94,4204.36,6.01337,0.945868
95,4285.11,3.99608,0.945338
