partial,f,sigma,r2
1,30.954,0.23127,0.967571
2,61.908,0.226208,0.929381
3,91.5161,0.188707,0.880454
4,122.47,0.155975,0.72286
5,153.424,0.142731,0.754111
6,184.378,0.140321,0.644922
11,339.148,0.121947,0.646516
13,402.402,0.140781,0.621652
14,433.356,0.139857,0.684191
15,469.693,0.179088,0.786984
16,497.955,0.153767,0.804469
17,528.909,0.190021,0.865481
18,561.209,0.174204,0.818952
19,593.509,0.20534,0.856846
20,625.809,0.189878,0.866849
21,659.454,0.195244,0.843237
22,693.1,0.208455,0.827101
23,725.4,0.219608,0.849103
24,759.045,0.211303,0.918085
25,792.691,0.230333,0.937943
26,826.337,0.24435,0.941067
27,861.328,0.259543,0.911246
28,894.974,0.267259,0.93213
29,929.965,0.31077,0.945503
30,964.957,0.375032,0.995146
31,999.948,0.402045,0.944572
32,1034.94,0.344537,0.991095
33,1071.28,0.371237,0.92307
34,1108.96,0.411836,0.98793
35,1143.95,0.462145,0.990058
36,1181.63,0.52901,0.966365
37,1217.97,0.501004,0.976644
38,1255.65,0.586429,0.987402
39,1293.34,0.537372,0.974703
40,1331.02,0.598428,0.980899
41,1370.05,0.639858,0.989326
42,1410.42,0.621164,0.988384
43,1449.45,0.661446,0.98664
44,1488.48,0.658921,0.972957
45,1528.86,0.749541,0.936575
46,1569.23,0.790418,0.983644
47,1608.26,0.818933,0.998564
48,1651.33,0.793217,0.985448
49,1693.05,0.831632,0.999137
50,1734.77,0.930417,0.988478
51,1776.49,0.996655,0.978211
52,1820.9,1.11123,0.964881
53,1863.97,1.08121,0.920196
54,1907.03,1.20364,0.974049
55,1950.1,1.2531,0.999091
64,2345.77,3.87307,0.999404
71,2674.15,1.9471,0.992591
72,2726.64,1.83498,0.993754
73,2776.44,1.97241,0.985611
74,2831.62,2.11792,0.991759
75,2884.1,2.66709,0.998711
78,3046.95,2.71343,0.957466
79,3102.13,2.94302,0.929516
80,3160,3.76046,0.964669
81,3217.87,3.88386,0.949405
82,3283.81,2.92419,0.967918
83,3332.26,4.68905,0.972904
84,3388.79,3.70079,0.890532
85,3450.7,4.31324,0.926797
86,3508.57,4.91498,0.931639
87,3570.47,4.09504,0.920444
89,3688.91,5.57351,0.960303
90,3750.81,5.68357,0.939598
