partial,f,sigma,r2
1,103.629,0.231039,0.530708
2,207.257,0.159486,0.608714
3,310.886,0.139013,0.525525
4,414.514,0.190799,0.586622
5,519.489,0.198496,0.610664
6,623.117,0.257618,0.843652
7,728.091,0.255384,0.844621
8,831.72,0.236261,0.770223
9,936.694,0.264645,0.707401
10,1041.67,0.229936,0.813153
11,1146.64,0.21221,0.824967
12,1251.62,0.309584,0.863971
13,1357.94,0.314797,0.930582
14,1464.26,0.403321,0.957357
15,1570.58,0.352631,0.878392
16,1676.9,0.415863,0.788756
17,1784.56,0.353223,0.919894
18,1892.23,0.420605,0.943053
19,2001.24,0.401558,0.913828
20,2110.25,0.479368,0.869692
21,2217.92,0.515623,0.90886
22,2328.28,0.54013,0.960881
23,2438.64,0.485569,0.973489
24,2550.34,0.628126,0.939757
25,2662.04,0.565466,0.865662
26,2776.44,0.731625,0.963901
29,3141.16,1.7514,0.850272
43,4846.32,4.69673,0.870253
