partial,f,sigma,r2
1,61.908,0.231854,0.723137
2,123.816,0.322144,0.891208
3,184.378,0.254291,0.718292
4,246.286,0.203965,0.646915
5,308.194,0.208005,0.815154
6,370.102,0.162828,0.662492
8,493.918,0.146474,0.6008
9,555.826,0.218963,0.801028
10,617.734,0.254516,0.841209
11,679.642,0.131176,0.522295
12,742.896,0.168935,0.679406
13,804.803,0.241823,0.692637
14,866.711,0.187742,0.690456
15,929.965,0.17627,0.643783
16,993.219,0.225197,0.790582
17,1056.47,0.286127,0.888433
18,1118.38,0.263553,0.836992
19,1182.98,0.316321,0.844411
20,1247.58,0.271854,0.664035
21,1312.18,0.357966,0.949607
34,2227.34,0.415336,0.946837
35,2295.98,0.445114,0.973325
36,2364.61,0.491764,0.957101
37,2433.25,0.525423,0.951284
38,2503.23,0.562147,0.96172
39,2571.87,0.53449,0.966724
46,3139.81,1.08123,0.848061
48,3287.85,0.886823,0.87884
49,3364.56,1.05119,0.830679
50,3437.24,0.867753,0.893286
56,3972.88,1.03788,0.899903
57,4054.97,1.5602,0.883955
58,4128.99,1.56365,0.849259
59,4225.89,1.21715,0.954578
63,4612.14,2.17866,0.880802
64,4695.58,1.56017,0.839503
65,4783.06,2.49625,0.862109
66,4867.85,1.88424,0.885072
68,5069.72,1.75833,0.916747
71,5379.26,2.4983,0.896728
72,5468.09,2.00342,0.802425
