partial,f,sigma,r2
1,40.3748,0.199746,0.920007
2,82.0953,0.160565,0.811596
3,122.47,0.168431,0.825369
4,164.191,0.253588,0.967723
6,246.286,0.142581,0.770093
7,288.007,0.139884,0.646366
8,328.381,0.153784,0.803198
9,370.102,0.168376,0.845209
11,453.543,0.124816,0.628724
12,495.264,0.16426,0.799006
13,536.984,0.196911,0.869147
14,578.705,0.192554,0.812754
15,620.425,0.204977,0.860065
16,662.146,0.178547,0.704322
17,705.212,0.189704,0.876097
18,746.933,0.191192,0.854209
19,789.999,0.258106,0.954386
20,833.066,0.239742,0.895285
21,874.786,0.254252,0.923976
22,917.853,0.289459,0.963361
23,960.919,0.293019,0.943669
24,1005.33,0.320149,0.934439
25,1049.74,0.328236,0.984959
26,1094.16,0.330014,0.962392
27,1154.72,1.56042,0.993584
37,1637.87,0.674526,0.920339
38,1687.66,0.777841,0.988719
39,1733.42,0.686877,0.879003
40,1783.22,0.70544,0.972224
41,1831.67,0.70698,0.949797
42,1880.12,0.880979,0.999958
43,1928.57,0.800658,0.967516
44,1978.36,0.812724,0.999982
45,2028.16,0.837304,0.994233
46,2079.3,0.884806,0.990908
47,2129.1,1.03738,0.994665
48,2181.58,0.991399,0.98077
50,2310.78,2.81993,0.984812
57,2711.84,1.31888,0.964414
58,2768.36,1.19845,0.958779
59,2824.89,1.29605,0.970859
60,2888.14,2.50994,0.970747
61,2937.94,1.2811,0.964971
62,2995.81,1.46578,0.954024
69,3465.5,2.12527,0.925182
70,3534.14,2.72831,0.915995
71,3596.04,2.17313,0.969763
73,3721.21,2.64013,0.935087
75,3850.41,3.49899,0.89711
