partial,f,sigma,r2
1,87.4786,0.22749,0.910278
2,174.957,0.215418,0.749058
3,261.09,0.169389,0.793279
4,348.569,0.247928,0.585814
5,436.047,0.187242,0.636705
6,523.526,0.175829,0.592275
7,611.005,0.192361,0.716288
9,787.308,0.211113,0.784003
10,874.786,0.184931,0.542575
11,963.611,0.260369,0.793201
12,1051.09,0.286086,0.796516
13,1139.91,0.257381,0.784993
14,1228.74,0.262505,0.817543
15,1317.56,0.313206,0.850266
16,1407.73,0.406887,0.92142
17,1496.56,0.324165,0.848997
18,1586.73,0.332164,0.897628
19,1676.9,0.383158,0.889207
20,1768.41,0.581618,0.912246
41,3874.63,1.57286,0.781573
43,4083.23,1.44028,0.8195
44,4184.17,1.59275,0.796839
45,4293.18,1.57836,0.888928
58,5838.19,3.12635,0.89277
