partial,f,sigma,r2
1,196.49,0.299099,0.927324
2,391.635,0.274707,0.874156
3,588.126,0.215731,0.658372
4,784.616,0.264668,0.731568
5,982.452,0.379899,0.895916
6,1180.29,0.396525,0.879314
7,1378.12,0.386699,0.885217
8,1577.31,0.408616,0.907027
9,1779.18,0.47196,0.917364
10,1982.4,0.510372,0.96479
11,2184.27,0.599986,0.920293
12,2388.84,0.662436,0.960128
13,2594.75,1.04833,0.965806
14,2803.35,0.95884,0.910532
15,3013.3,0.997878,0.97543
16,3224.6,1.02658,0.983666
17,3439.93,1.59049,0.932213
18,3655.26,1.24846,0.919443
19,3873.28,1.39562,0.925825
20,4096.69,1.32916,0.947355
21,4321.44,1.36498,0.880287
29,6236.55,1.61292,0.713407
