partial,f,sigma,r2
1,156.116,0.270256,0.504687
2,310.886,0.236332,0.564057
3,467.001,0.183973,0.572507
4,621.771,0.193008,0.556633
5,777.887,0.275156,0.76746
6,935.349,0.309218,0.691468
7,1091.46,0.342664,0.805852
8,1248.93,0.319776,0.766038
9,1406.39,0.383138,0.876105
10,1565.19,0.334253,0.777678
11,1725.35,0.571989,0.997288
12,1888.19,0.64552,0.894066
22,3609.5,3.05636,0.753227
27,4574.46,1.05142,0.781836
28,4770.95,2.16796,0.962231
29,4956.67,1.91547,0.940989
35,6224.44,1.26863,0.693297
38,6897.35,3.86876,0.881257
