partial,f,sigma,r2
1,39.0289,0.177257,0.813069
2,78.0579,0.166341,0.79886
3,115.741,0.160728,0.818593
4,154.77,0.127264,0.703837
5,193.799,0.16263,0.814577
6,232.828,0.168302,0.823121
7,271.857,0.173518,0.856288
8,310.886,0.113128,0.621465
9,349.915,0.147216,0.719603
10,388.943,0.179929,0.848872
11,427.972,0.150301,0.764927
12,467.001,0.22438,0.916181
13,506.03,0.186055,0.867516
14,545.059,0.201419,0.89084
15,585.434,0.240175,0.950762
16,624.463,0.187796,0.802917
17,664.838,0.195433,0.815913
18,703.867,0.201306,0.89825
19,745.587,0.213669,0.924294
20,784.616,0.242313,0.930841
21,824.991,0.229254,0.857091
22,866.711,0.244217,0.912503
23,907.086,0.315997,0.983879
24,947.461,0.285347,0.924345
25,990.527,0.325057,0.956034
26,1032.25,0.364346,0.965903
27,1099.54,2.83478,0.96333
28,1118.38,0.388442,0.992524
35,1454.84,0.548464,0.975786
36,1500.6,0.539225,0.967488
37,1545.01,0.603992,0.971631
38,1588.07,0.581559,0.985495
39,1633.83,0.7102,0.97776
40,1678.24,0.66692,0.989802
41,1724,0.713265,0.999521
42,1769.76,0.77721,0.988635
43,1816.86,0.834686,0.993696
44,1862.62,0.854162,0.98239
45,1909.73,0.87936,0.954423
46,1956.83,0.919404,0.973498
53,2345.77,1.06281,0.986218
54,2396.91,1.23832,0.999619
55,2437.29,1.20434,0.998397
56,2499.2,1.26969,0.984755
57,2550.34,1.16852,0.984079
58,2602.83,1.28804,0.966658
59,2655.31,1.22515,0.973147
60,2707.8,1.34631,0.970162
65,3001.19,1.52713,0.879948
66,3088.67,1.64015,0.964549
67,3145.19,1.77085,0.951156
68,3201.72,1.66244,0.975551
69,3259.59,1.92309,0.923474
70,3318.8,2.15769,0.948398
71,3376.68,1.86108,0.930871
72,3449.35,2.29798,0.946563
74,3586.62,2.97876,0.955659
75,3633.73,2.99303,0.963342
76,3725.24,3.17131,0.955296
77,3772.35,3.36499,0.957986
78,3857.14,3.98714,0.944393
79,3921.73,2.97032,0.901869
80,3983.64,3.30596,0.945413
81,4045.55,3.035,0.912342
82,4112.84,3.3477,0.920111
86,4403.54,4.58085,0.951569
87,4493.71,4.90811,0.949234
89,4643.1,4.35182,0.952029
90,4710.39,4.8245,0.942087
92,4851.7,5.21964,0.890525
93,4953.98,4.70882,0.970579
