partial,f,sigma,r2
1,123.816,0.251345,0.922268
2,246.286,0.199803,0.53136
4,493.918,0.21443,0.761837
6,741.55,0.222158,0.732172
7,865.366,0.238904,0.710825
8,990.527,0.254448,0.768402
9,1114.34,0.222772,0.813555
10,1239.51,0.287226,0.896647
11,1366.01,0.384489,0.939976
12,1496.56,0.390544,0.921048
21,2730.68,0.879648,0.905432
24,3182.88,0.856074,0.945819
25,3320.15,0.917809,0.975603
26,3457.42,1.05791,0.968758
27,3616.23,2.04763,0.860332
32,4442.57,1.47242,0.922297
33,4590.61,1.56556,0.887135
38,5489.62,2.46971,0.908313
39,5645.74,3.46184,0.861959
44,6606.66,4.24892,0.831204
48,7451.83,4.89375,0.903561
