partial,f,sigma,r2
1,92.8619,0.254595,0.853646
2,184.378,0.182339,0.526581
3,277.24,0.173719,0.616603
4,370.102,0.30635,0.80557
6,554.48,0.207476,0.713891
7,647.342,0.202209,0.645508
9,834.412,0.250772,0.811796
10,927.274,0.220963,0.723477
11,1021.48,0.293962,0.90461
12,1114.34,0.308688,0.856697
13,1208.55,0.238557,0.764273
14,1302.76,0.28995,0.768577
15,1396.97,0.421997,0.870069
16,1492.52,0.343806,0.918002
17,1586.73,0.414642,0.920718
18,1682.28,0.500972,0.949932
19,1777.84,0.421774,0.935203
20,1874.73,0.454912,0.946327
21,1972.98,0.491457,0.926259
22,2071.23,0.62897,0.947287
28,2699.73,0.867477,0.926442
43,4344.32,1.39355,0.938805
44,4457.37,1.38445,0.948083
45,4570.42,1.50167,0.963045
46,4682.13,1.46341,0.946627
47,4797.87,2.40197,0.869491
61,6616.08,3.25502,0.866167
62,6749.31,4.99059,0.930083
64,7011.75,4.88712,0.886585
