partial,f,sigma,r2
1,57.8705,0.286025,0.867837
2,115.741,0.193231,0.767858
3,174.957,0.249697,0.78706
4,232.828,0.233233,0.910561
5,290.698,0.285748,0.877481
7,407.785,0.272988,0.882436
8,465.656,0.154416,0.650495
9,524.872,0.22216,0.721353
10,582.742,0.135212,0.562555
11,640.613,0.148656,0.627608
12,699.829,0.202797,0.641502
13,757.7,0.181736,0.677483
14,816.916,0.227996,0.766683
15,876.132,0.16834,0.561632
16,935.349,0.228746,0.737399
17,994.565,0.201547,0.762407
18,1053.78,0.229104,0.712384
19,1114.34,0.307182,0.846998
20,1176.25,0.327526,0.911139
26,1575.96,0.513829,0.901343
28,1693.05,0.494673,0.919596
30,1837.05,0.373917,0.938637
31,1898.96,0.428859,0.926785
32,1960.87,0.403377,0.950676
33,2022.78,0.416159,0.956949
34,2084.68,0.440414,0.939943
35,2149.28,0.425805,0.934565
36,2224.65,0.567667,0.904485
37,2302.71,6.95313,0.994725
40,2523.42,0.575555,0.930043
41,2590.71,0.564957,0.946237
42,2658,0.553765,0.949424
43,2719.91,0.560159,0.977809
44,2788.55,0.577335,0.974413
48,3115.59,0.6523,0.973584
49,3184.22,0.720506,0.985012
50,3250.17,0.745831,0.945259
51,3322.84,0.950067,0.870293
52,3427.82,1.02071,0.889302
53,3489.72,1.03792,0.866616
55,3663.34,0.857882,0.976544
56,3734.67,0.944156,0.972568
57,3832.91,1.2276,0.981428
60,4089.96,0.967627,0.789281
61,4162.64,1.07755,0.879855
62,4239.35,1.64722,0.857815
64,4419.69,1.31536,0.826568
65,4530.05,1.25259,0.928001
66,4604.07,1.95108,0.975488
67,4686.16,1.33933,0.850581
69,4900.15,1.77856,0.893392
70,4979.55,2.05836,0.945661
71,5069.72,2.18953,0.894977
74,5367.15,3.03945,0.935938
76,5547.49,3.10088,0.913409
78,5773.59,3.55794,0.908417
79,5855.69,3.59816,0.938636
80,5957.97,2.53652,0.946836
83,6274.24,3.87888,0.947486
88,6816.6,3.56325,0.909308
