partial,f,sigma,r2
1,28.2623,0.205777,0.886362
2,57.8705,0.245845,0.943707
3,86.1328,0.19956,0.912872
4,115.741,0.18361,0.877308
5,145.349,0.168494,0.860489
8,232.828,0.153485,0.8406
9,261.09,0.145385,0.725599
10,290.698,0.136096,0.542662
11,320.306,0.123571,0.652432
12,349.915,0.120694,0.569048
13,380.869,0.180514,0.881998
14,410.477,0.159122,0.658797
15,440.085,0.190553,0.892918
16,471.039,0.17948,0.697841
17,501.993,0.16333,0.774559
18,532.947,0.217916,0.938107
19,563.901,0.195414,0.864488
20,594.855,0.281399,0.915857
21,625.809,0.23685,0.935413
22,658.109,0.241072,0.946864
23,690.408,0.245713,0.926661
24,721.362,0.227316,0.918269
25,753.662,0.246969,0.93369
26,787.308,0.26311,0.917747
27,820.953,0.290709,0.960206
28,853.253,0.297321,0.961952
29,886.899,0.360283,0.993139
30,921.89,0.323353,0.973515
31,955.536,0.358262,0.977309
32,990.527,0.451539,0.968432
34,1033.59,0.919096,0.994916
36,1126.46,0.790447,0.984117
37,1157.41,0.988155,0.999985
38,1188.36,1.02617,0.999984
39,1207.21,0.562376,0.976403
40,1244.89,0.701112,0.959455
41,1282.57,0.655311,0.98323
42,1320.25,0.712167,0.955772
43,1359.28,0.804781,0.958386
44,1398.31,0.789111,0.998822
45,1437.34,0.84946,0.988864
46,1477.72,1.05428,0.961972
47,1518.09,0.946433,0.967466
48,1559.81,0.949627,0.980929
49,1600.19,1.68916,0.9922
50,1640.56,1.29032,0.998331
51,1674.21,1.25884,0.999946
52,1707.85,1.26465,0.999985
53,1741.5,1.30429,0.999967
55,1816.86,1.42058,0.995754
56,1859.93,1.49333,0.963764
57,1904.34,1.85047,0.978188
58,1950.1,1.63083,0.928783
59,1995.86,1.58431,0.968413
60,2042.96,1.80817,0.976526
61,2088.72,2.38061,0.991807
62,2135.82,1.85172,0.975708
68,2382.11,2.17715,0.969095
69,2433.25,2.21347,0.989024
70,2485.74,1.81877,0.992497
71,2535.53,2.28869,0.96836
72,2588.02,2.70961,0.995541
73,2643.2,2.71134,0.994076
74,2693,2.61811,0.998048
75,2718.57,1.89728,0.987661
76,2793.93,2.86126,0.95305
81,3030.8,3.84372,0.966481
82,3084.63,3.70141,0.985875
83,3146.54,4.28391,0.976566
84,3205.76,3.98808,0.974199
85,3262.28,4.28548,0.963992
88,3413.01,2.38588,0.832807
89,3457.42,4.16404,0.913659
90,3540.87,5.10297,0.893805
91,3571.82,5.70789,0.968414
92,3629.69,4.58597,0.923279
93,3695.64,5.83881,0.981141
94,3764.27,5.90663,0.928543
95,3808.69,5.33849,0.923752
96,3892.13,6.04601,0.983995
