partial,f,sigma,r2
1,78.0579,0.377866,0.935493
2,154.77,0.226964,0.724813
3,232.828,0.232672,0.814328
4,310.886,0.165723,0.641802
5,388.943,0.18423,0.569311
6,467.001,0.166204,0.65048
7,545.059,0.281801,0.875903
8,623.117,0.228513,0.776849
10,779.233,0.208894,0.716059
11,857.291,0.250889,0.772206
12,936.694,0.266725,0.86637
13,1014.75,0.265365,0.853965
14,1094.16,0.245859,0.765563
15,1173.56,0.398414,0.875507
16,1251.62,0.320756,0.787686
17,1332.37,0.560903,0.931783
18,1411.77,0.299578,0.87192
19,1492.52,0.345602,0.877202
20,1574.62,0.325089,0.900849
27,2186.97,0.749587,0.907589
36,2987.73,0.616556,0.976789
37,3077.9,0.581936,0.977488
38,3162.69,0.597147,0.971695
39,3252.86,0.685528,0.970109
40,3341.68,1.00967,0.78236
41,3433.2,1.17365,0.809296
42,3547.6,1.73401,0.846797
43,3628.34,1.89492,0.813449
49,4255.5,1.11608,0.946275
50,4352.4,1.93167,0.9116
51,4447.95,1.61291,0.884657
52,4547.54,1.33491,0.905653
59,5344.27,2.64575,0.82886
60,5437.13,3.4462,0.94624
61,5550.18,2.17826,0.909933
66,6149.08,2.91841,0.895644
67,6282.31,4.03324,0.944682
69,6507.06,5.08536,0.952134
