partial,f,sigma,r2
1,36.3373,0.216404,0.911866
2,72.6746,0.184114,0.877016
3,109.012,0.147553,0.691455
4,146.695,0.146851,0.778716
6,219.37,0.145497,0.623427
7,255.707,0.157126,0.813993
8,293.39,0.195078,0.918907
9,329.727,0.110356,0.611464
10,366.064,0.147431,0.728199
11,403.748,0.160372,0.666483
12,440.085,0.179829,0.701771
13,477.768,0.229154,0.943894
14,515.451,0.184605,0.893733
15,551.788,0.161334,0.719263
16,589.471,0.177729,0.781952
17,627.155,0.235809,0.935301
18,664.838,0.221753,0.883655
19,702.521,0.204513,0.797354
20,740.204,0.194641,0.879761
21,777.887,0.205315,0.873812
22,816.916,0.221572,0.919122
23,854.599,0.242763,0.933683
24,893.628,0.279986,0.947356
25,934.003,0.3096,0.947667
27,1028.21,1.77692,0.933814
28,1065.89,0.8845,0.993881
34,1331.02,0.463236,0.978906
35,1371.4,0.487801,0.985863
36,1413.12,0.543994,0.983681
37,1454.84,0.564784,0.965544
38,1496.56,0.536092,0.99584
39,1538.28,0.559318,0.859177
40,1581.34,0.753196,0.947165
41,1624.41,0.665319,0.956031
42,1667.48,0.656378,0.974732
43,1710.54,0.716979,0.992886
44,1753.61,0.814097,0.926792
45,1799.37,0.868312,0.92064
50,2055.08,2.91277,0.980232
51,2112.95,0.988914,0.982493
52,2160.05,1.07652,0.956578
53,2207.15,1.00432,0.973609
54,2254.26,1.15117,0.934094
55,2301.36,1.17198,0.955249
56,2349.81,1.05057,0.984605
57,2398.26,1.16018,0.98589
58,2448.06,1.1847,0.994646
60,2570.53,1.38405,0.98924
63,2744.14,1.15898,0.998275
65,2849.11,1.42492,0.982304
66,2901.6,1.46648,0.973576
67,2955.43,1.78385,0.999844
68,3010.61,1.78575,0.984404
69,3084.63,1.9133,0.991859
72,3247.48,1.92603,0.926182
74,3392.83,2.37491,0.896524
75,3449.35,2.19808,0.938987
76,3505.87,2.38794,0.918761
77,3561.05,3.00639,0.956717
78,3618.92,3.74917,0.951838
79,3682.18,2.92647,0.923331
84,4038.82,3.48234,0.978578
85,4110.15,5.40963,0.980917
88,4289.15,4.33202,0.895497
93,4675.4,5.54868,0.863174
94,4744.03,4.501,0.849247
95,4811.33,3.20928,0.77418
