partial,f,sigma,r2
2,138.62,0.218728,0.617803
3,207.257,0.213738,0.559071
4,277.24,0.220928,0.75809
5,345.877,0.225993,0.83961
7,484.497,0.231535,0.875946
8,554.48,0.209958,0.741435
9,624.463,0.256022,0.772431
10,693.1,0.253319,0.912533
11,763.083,0.225493,0.700853
12,833.066,0.212649,0.766119
13,903.049,0.221906,0.710253
14,974.377,0.224432,0.750789
15,1044.36,0.253508,0.708994
16,1114.34,0.292268,0.854752
17,1185.67,0.270988,0.860451
18,1255.65,0.321669,0.905897
19,1328.33,0.350499,0.838669
20,1401,0.427036,0.904215
34,2497.85,0.660284,0.950848
35,2575.91,0.57658,0.960341
36,2651.28,0.5766,0.935135
37,2729.33,0.612735,0.960689
38,2807.39,0.594101,0.942016
39,2886.79,0.579121,0.967381
41,3081.94,0.944367,0.8386
42,3154.61,1.10888,0.862513
46,3519.33,0.945634,0.897124
47,3600.08,1.25578,0.835607
48,3682.18,1.60973,0.91016
49,3768.31,0.981005,0.949511
50,3881.36,0.824806,0.733583
54,4250.12,2.11397,0.910405
55,4357.78,1.70046,0.855366
56,4446.61,1.67915,0.82802
57,4538.12,1.43098,0.904865
62,5068.38,2.52946,0.92649
63,5159.89,2.55718,0.904181
65,5379.26,1.45339,0.825957
71,6023.91,3.78483,0.9083
81,7235.16,5.93565,0.941204
